stage,eye,glial,hatching_gland,iridophores,liver,mesenchyme,neural,olfactory,spinal_cord,vascular_smooth_muscle
 24-34,0,0,0,0,0,0,9.58,0,0,0
 36-46,0,0,0,0,0,0,3.53,0,1.52,0
 48-58,2.09,0,0,0,0,0,0.65,0.53,0,0
 60-70,1.38,0,0,0,0,0.61,8.06,0,0,0
 72-82,2.85,0.97,0,0,0,1.56,3.5,0,0,1.49
 84-94,0.71,0,0.64,0,0,0,0.74,0,4.53,0
 96-106,0,0,0,1.05,0,0,1.17,0,0,0
108-118,0,0,0,0,0,0,9.35,1.9,0,0
120,0,0,0,0,1.23,0,1.29,0,0,0
