stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.89,135.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.81,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.53,0,0,0,0,0,0,23.72,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,34.32,217.23,71.23,0,0,68.33,0,0,9.16,13.2,65.56,0,3.02,0,0,0,88.12,0.83,0,21.3,30.91,0,0,1.65,0,3.54,1.16,0,0,8.54,5.6,0,0,8.04,0,0
 24-34,0.88,0,0,13.05,73.36,8.22,0.65,0,59.68,0,0.8,0,0,37.04,0,0.94,0,1.38,0,53.47,1.31,0,32.2,22.32,0,0.67,0,2.97,0.71,0,1.87,0.79,2.6,18.3,0,0,123.44,0,0
 36-46,0,0,0,0.72,15.35,21.49,1.27,0,20.26,0.99,0,1.39,0,13.63,0,1.15,0,0,4.34,129.47,0,5.67,55.03,53.02,0,0,0,0,0,0,0,2.35,0,53.27,0,2.08,156.36,0,0
 48-58,0,0,0,0.43,17.72,1.82,5.34,0,6.81,0.78,0.56,0,0,38.69,0,0,0,0,0,193.05,0,32.57,84.49,109.36,0,0,0,0.46,0,0,0,0,0,58.82,0,7.89,180.51,0,0
 60-70,0,0,0,0,8.85,0,28.37,0,9.56,0,17.69,1.61,0,33.33,0,0.86,0,0.62,0,343.7,0,100.06,95.18,115.72,0,0,0,6.95,2.18,0,0,0.63,0,381.71,0,25.05,147.86,26.76,0
 72-82,0,0,0,0,6.75,3.81,30.65,0,0,2.05,9.73,6.64,0,49.81,0,1.73,8.35,7.56,0,525.53,0,131.72,127.91,278.97,0.53,2.95,0,3.24,1.48,0,0,0,0,394.35,0,53.47,277.7,88.13,0
 84-94,0,0,0,0.61,15.32,0.92,52.12,0.7,4.92,3.96,7,6.32,0,30.23,3.58,0.83,0.57,3.95,0,476.1,0,117.51,112.17,261.17,1.46,0,0,9.62,0,0,0,0,0,239.81,0,76.97,251.26,109.71,0
 96-106,0,0,1.37,2.14,31.11,24.7,71.39,0,5.29,2.09,10.54,12.15,0,90.07,0.58,3.56,1.86,3.6,0,548.56,3.47,82.61,115.93,145.45,0,0,0,12.86,3.35,0,2.16,0.62,0,103.75,0.7,24.36,323.29,176.51,0.69
108-118,0,0,2.54,0.58,9.81,2.61,21.47,0,4.31,2.71,2.18,8.82,0,44.21,0,8.21,0.43,6.24,0,662.43,0,72.73,83.14,216.44,0,3.05,0,9.31,1.08,0,2.04,0.96,0,75.49,2.4,12.54,347.47,206.83,0
120,0,0,0,6.07,14.19,3.74,8.69,0,4.33,0,18.99,40.92,0,43.97,0,1.66,0,4.47,0,453.83,1.69,112.85,97.37,270.88,0,0,0,0,1.89,0,0,1.21,0,109.74,0,29.6,421.8,193.94,0
