stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,72.33,629.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,0,0,0,0,0,0
  5-6,0,424.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0
  7-9,11.23,9.33,0,0,0,0,0,0,0,0,0,0,0,0,50.38,0,0,15.09,0,0,0,0,0,0,0,0
 10-12,0,10.46,13.25,0,0,12.86,0,0,0,0,0,0,0,0,50.19,0,0,7.16,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.28,0.94,1.1,0,0,0,0.83,0,0,0,0,9.09,0,0,0,0,0,1.57,4.59,3.7,0,0,0
 24-34,0,0,0,0,0,1.12,0,0,1.51,0.71,0,0,0,1.44,103.36,0,0,0,0,0,0,0,11.99,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.33,0,0,7.56,0,0.72,316.41,0,0,0,7.92,0,0,0,51.25,0,0,0
 48-58,0,0,0,7.79,1.54,28.16,0,6.07,2.2,0,5.11,4.69,0,0.82,554.09,0,0,0,0,9.43,0,0,82.86,0,0,0
 60-70,0,0,0,0,0,82.93,0,3.17,11.85,0,0,6.55,0,0,795.68,0.72,0,0,0,0,0,0,74.57,0,0,10.05
 72-82,0,0,0,3.08,0,85.83,4.55,0,7.23,0,0,5.67,0,0,758.12,0.74,0,0,0,0.59,0,0,59.23,0,0,0
 84-94,0,0,0,1.21,0,78.91,0,0,7.32,0,0,12.6,0.94,0,426.72,0,0,0,0,0,0,0,63.19,0,0,0
 96-106,0,0,0,1.9,0,27.88,0,0,0.67,0,3.09,12.55,0,0,414.71,0,0,0,0,0,0,0,25.67,1.98,0,0
108-118,0,0,0,1.74,0,45.8,0,0,0,0,0.99,1.17,0,0.92,382.32,0,1.76,0,0,1.33,0,0,16.84,0,3.99,0
120,0,0,0,0,0,55.43,0,2.41,9.86,0,0,16.88,0,0,925.84,0,0,0,0,0,0,0,20.16,0,0,0
