stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,25.4,722.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.02,0,0,0,0,0
  5-6,9.41,245.52,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.81,0,0,0,0,0,0,50.31,0,0,0,5.4,0,0,0,0,0,0
 10-12,0,0,0,5.75,0,0,0,0,0,0,0,0,0,75.04,4.54,0,0,0,0,0,3.8,0,0,0
 14-21,0,0,0,1.54,6.87,0,2.99,0,0,0,0,0,0.91,17.05,0,0,0,0,0,5.17,0,1.77,4.23,0
 24-34,0,0,0,0,3.51,0,3.3,0,1.44,0.69,4.11,0,0,93.59,0,5.29,0,0,0,0,0,0,14.84,7.09
 36-46,0,0,0,0,0,0,3.29,0.73,0.58,0,3.7,0,0,48.7,0,2.52,0.58,0,0,0,0,0,11.88,0
 48-58,0,0,0,0,0,0,8.83,0.71,1.79,0,2.1,0,0,91.92,0,1.3,0,0,0,0,0,0,24.68,0.77
 60-70,0,0,0,0,0.62,0,5.35,7.25,17.94,0,0.73,0,0,65.04,0,0.98,0,0,0,0,0,0,9.26,0
 72-82,0,0,0,0,0,0,12.07,0,12.68,0,1.03,0,0,93.18,0,0,0,0,0,0,0,0,6.16,0
 84-94,0,0,0,0,0,0,13.1,2.16,21.89,0,1.43,0.76,0,43.74,0,0,0.92,0,0,0,0,0,11.94,0
 96-106,0,0,0,0,0,0,13.02,3.78,21.14,0,0,0,0,37.28,0,0,0,0,0,0,0,0,9.74,0
108-118,0,0,0,0,0.71,2.02,4.8,0,17.33,0,5.22,0,0,25.75,0,0.57,0,0,0,0,0,0,0,0
120,0,0,1.37,0,0,0,3.24,0,22.88,0,10,0,0,45.08,0,0,0,0,0,0,0,0,0,0
