stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,ionocyte,liver,mesenchyme,mucous,neural,periderm,slow_muscle,spinal_cord,vasculature
  5-6,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,30.25,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.13,0,5.45,0,0
 24-34,0,0.61,0,0,0,0,0,0,0,0.85,3.05,24.89,1.15,0
 36-46,0,0,0,0,0,0,0,0,1.05,0,54.62,20.36,0,0
 48-58,0,1.44,0.48,0,0,0,0,0.65,0,3.52,113.06,11.42,0.49,0
 60-70,0,1.17,5.13,3.79,0,0,0,1.5,0,10.51,80.42,5.21,0,0
 72-82,0,0,2.55,0,0,0,1.61,0,0,0,78.93,2.02,1.94,0
 84-94,0,0,6.99,0,0,1.46,0,1.8,1.4,0,191.7,3.08,0,0
 96-106,0,0.61,10.45,0,0,0,0,0,0,0,71.95,3.25,0,0
108-118,0,0,23.27,0,0.95,0.53,0,0,0,0,15.28,1.22,0,4.29
120,0,0,18.37,0,0,0,0,0,0,0,15.76,0,0,0
