stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,32.88,304.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,152.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,0,0,0,0,0,0,0
 10-12,0,0,11.2,0,0,0,0,0,0,0,0,0,0,34.08,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0.92,0.85,0,0,0
 24-34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,18.36,1.34,0,0,4.69,0,0.6,0
 36-46,0,0,0,0,0.57,0,0,1.98,0,4.9,0,0,1.19,55.64,0,0,0,7.75,0,0,0
 48-58,0,0,0,0,7.69,1.03,0,0.61,0,1.35,0,0.68,0,118.05,0,0,0,4.79,0,0,0
 60-70,0,0,0,0,41.25,0,0,11.43,0.9,16.67,0,1.64,0,167.28,0,9.91,1.66,22.08,0,6.41,0
 72-82,0,0,0,0,36.42,0,0,8.64,1.12,5.53,0,1.5,0.73,156.29,0,0,0,3.87,0.53,8.59,0
 84-94,0,0,0,0,58.56,0,5.28,7.19,0,9.65,0,4.17,0,92.41,0,0,0,5.04,0,0.58,1.74
 96-106,0,0,0,0,35.05,0,0,10.13,1.29,8.29,0.92,1.91,0,74.43,0,0,0,0,0,2.98,0
108-118,0,0,0,1.61,22.45,0,0,14.73,0,8.86,0,3.7,0.53,71.82,0,0,0,3.91,0,4.57,0
120,0,0,0,1.16,35.36,0,0,2.75,0,23.1,2.19,0,0,95.6,0,0,0,0,0,0,0
