stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.13,0,21.88,0,11.59,0,26.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.76,6.68,0,0,41.68,0,0,0,73.56,0,0,0,0,0,0,0
 14-21,0,0,0,0,51.11,141.32,0,6.29,0,0,0,1.16,2.72,12.74,0,0,0,1.07,0,0,120.68,0,0,53.66,175.73,0,0.85,20.19,0,0,0,1.15,0,4.96,3.12,30.93,0,45.99,0,0
 24-34,0.88,0,0,0,30.21,13.37,0,12.51,0.96,1.51,1.38,5.9,0,14.25,0,0,0,7.22,1.41,0,286.14,0,0.91,71.53,340.14,0,2.24,26.61,0,4.51,1.04,0,0,0,1.32,35.48,0,218.63,0,0
 36-46,0,0,0,0,6.82,4.01,0,3.21,1.47,5.35,19.9,11.85,0,14.64,0,0,0,2.27,0,0,287.93,0,7.91,48.27,259.84,0,0,17.17,0,0,6.86,0,0,0,0,40.9,0,176,1.55,0
 48-58,0,0,0,0,12.96,5.56,0,57.15,1.62,5.1,20.77,21.72,0,7.3,0,0,7.58,7.1,2.93,3.8,363.21,0,22.91,80.61,214.34,0,0,15.13,0,0,0,0,0,2.16,0,33.42,1.46,145.08,0.81,0
 60-70,0,0,0,0,3.87,2.33,0,160.97,7.41,0,13.45,12.32,0,20.81,0,0,4,9.96,0,0,610.35,0,41.44,97.07,193.99,0,0,12.36,0,14.63,3.55,0,0,2.41,0,11.92,10.71,90.98,2.49,0
 72-82,0,0,1.35,0,9.12,11.99,0,211.83,6.68,0,38.44,41.45,2.28,6.19,1.55,0.54,2.46,9.99,0,0,911.97,0,38.16,122.93,202.05,0,1.41,27.47,0,56.36,1.5,0,0,0,0,16.6,27.98,366.21,22.99,4.19
 84-94,0,0,0,0,17.95,5.63,0,192.69,2.59,0,29.49,33.63,0,8.88,0.98,0,3.27,10.56,0,0,658.75,0,46.58,80.67,168.34,0,1.04,12.11,0,21.03,6.92,0,2.39,0,0,3.26,20.95,229.37,28.91,0
 96-106,1.12,0,1.07,0,7.1,21.67,0,245.44,3.22,1.09,7.89,44.7,0.91,12.22,0,0.77,7.96,7.66,0,0,571.13,0.68,37.89,63.71,180.16,0,0,44.52,0,90.76,4.03,0,4.19,7.61,0,6.05,21.19,275.29,26.48,0
108-118,0,0,0,0,5.74,2.35,5.33,240.59,6.5,0,22.11,35.06,0,13.81,1.88,0.47,12.03,12.07,3.13,0,688.95,0,42.3,73.96,179.4,0,0,29.81,0,106.11,6.44,0,0,0,0,4.4,17.44,193.95,11.57,0
120,2.82,0,0,0,7.55,18.9,1.89,153.26,4.62,0,16.09,142.96,0,11.64,0,0,5.81,27.53,8.08,0,702.71,0,72.87,86.12,322.48,0,0,66.56,0,135.65,0,0,0,0,0,22.06,5.4,382.3,61.81,0
