stage,endoderm,eye,fast_muscle,immune,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 10-12,4.73,0,0,0,0,0,6.88,6.07,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.17,0,0,0
 24-34,0,0,0,0,0.93,0,4.71,0,0.74,0,2.02,0,0
 36-46,0,0,0,1.03,0,0,2.57,0,0,0,0,0.82,0
 48-58,0,0,0.58,0,0,0.48,0.75,0,0,0,0,2.36,0
 60-70,0,15.94,0,4.46,0,0,4.03,0,0,0,0,0,0
 72-82,0,5.6,0,1.17,0,0,6.12,0,1.27,0,0,0,0.63
 84-94,0,0,0,0.63,1,0,2.87,0,1.12,0,0,0,0
 96-106,0,0,0,2.93,1.02,0,2.79,0,8.27,0,0,0,0
108-118,0,3.2,0,6.95,0,0,3.15,0,0,0,0,0,0
120,0,0,0,7.06,0,0,12.38,0,0,0,0,0,1.48
