stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,116.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.09,176.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.59,0,0,0,14.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.47,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.99,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.3,27.76,0.83,0,6.3,0,0,0,6.96,0,0,0,0,0.92,0,0,0,0,16.99,0,0,6.78,74.66,0.87,0,0.86,0,0,0.84,5.96,0,8.55,28.34,0,0,6.12,0,0
 24-34,0.88,0,0,0.83,20.92,2.65,0,9.13,0,3.78,0.63,7.04,0.68,0,2.88,0,1.28,0,2.68,0,0.62,33.74,0,0,30.16,149.2,2.35,3.69,5,0,0,6.73,0,0.66,1.69,48.46,0,0,35.38,0,2.6
 36-46,0,0,0,0,12.73,0,0,8.32,0,6.49,3.67,4.57,0.57,0,0,0.94,0,0,1.37,0,6.95,70.66,0,0,22.27,119.52,6.39,3.03,6.04,0,0,18.97,1.05,6.65,0,26.47,0,0,33.25,0,4.05
 48-58,0,0,0,0,42.68,0,0,28.33,0,3.86,2.55,11.1,0.43,0,2.73,0.89,4.04,0.97,3.66,0,3.25,115.92,2.27,3.79,23.94,122.42,0,2.28,3.66,0,0,3.53,0,0,0,21.25,0,0,15.79,0,16.4
 60-70,0,0,0,0,19.96,4.71,0,17.3,0,16.32,15.27,26.18,0,0,0,7.97,5.42,11.66,1.76,0,1.79,154.75,3.8,5.92,13.94,100.77,2.62,0.61,8.75,0,0,5.27,0,0,0,10,0,1.64,21.6,0,10.47
 72-82,0,0,0,0,31.52,5.18,0,36.02,1.33,9.6,17.41,35.59,2.07,0.52,3.56,1.29,0.61,2.17,3.14,5.37,6.3,232.77,2.34,9.07,22.11,80.55,0.53,1.18,1.14,0,4.62,5.32,0,0.97,0,17.06,0,7.13,50.59,4.7,34.01
 84-94,0,0,0.81,0,34.19,3.54,5.58,39.65,0,12.11,13.03,26.75,3.91,0,2.1,10.03,5.26,7.67,6.23,1.71,21.23,214.59,1.03,5.65,9.86,35.91,1.99,1.37,5.96,0,6.05,28.04,0,2.62,0,13.4,2.12,2.45,28.94,3.47,16.31
 96-106,0,0,1.1,0,27.3,4.37,9.99,34.62,0.89,6.12,9.43,29.95,8.67,0,8.22,3.9,2.9,6.43,6.01,0.7,1.5,183.46,0,6.04,21.84,62.94,0.66,2.02,7.44,0,9.46,28.14,0,0.58,0,2.66,0,8.29,38.83,1.52,7.09
108-118,0,0,0.41,0,47.46,1.84,6.56,56.5,0.75,7.94,4.97,27.36,8.29,0,5.41,6.65,3.28,6.18,5.57,4.88,4.08,276,0,14.71,15.17,106.55,4.3,1.73,3.37,0,2.67,14.18,0,0.72,0,7.97,0.42,2.33,37.61,6.59,20
120,0,0,0,0,49.98,9.23,1.19,23,0,0,15.03,17.67,11.51,0,0,8.16,5.2,8.38,5.32,2.6,0,79.47,0,0,9.32,81.06,1.81,0,23.47,0,0,7.81,0,2.27,0,4.54,2.39,0,27.36,6.92,8.99
