stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,115.87,1147.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.19,0,0,0,0,0,0,0,0,0
  5-6,7.01,397.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,13.98,0,0,7.98,0,16.12,0,0,0,0,0,0,0,0,0
  7-9,0,13.69,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.51,0,0,0,8.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.5,0,0,0,12.58,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,60.61,0,0,0,25.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,106.54,3,0,88.35,0,1.1,0,82.53,0,3.09,1.78,2.54,0,2.21,0,0,1.21,159.15,0,0,63.39,4459.02,6.46,0.87,140.16,0,0,13.7,3.03,9.08,0,52.36,894.24,0,1.5,0,0
 24-34,0,0,0,2.24,75.6,4.6,0,289.63,0,4.47,1.23,110.24,0,0,1.04,0,1.49,2.86,6.31,10.81,6.15,723.7,0.91,0,152.28,12186.81,1.48,7.53,177.45,0,0,19.93,2.71,2.19,14.45,45.34,2184.73,0,6.45,0,1.87
 36-46,0,0,0,0,36.67,1.67,0,474.8,0,0,2.49,449.36,0,0,2.57,0.95,0,3.64,0,0,2.98,1238.06,0.58,0.67,86.65,9811.49,0.96,0,8.43,0,0,16.16,0,0,6.15,1.72,1209.75,1.04,7.44,0,6.55
 48-58,0,0,0.44,0,17.77,0,0,1192.2,0,5.64,3.81,756.42,0,0,4.67,0,0,0,0,0,0,1189.66,0,4.19,80.51,5516,9.89,0.48,5.87,0,0,4.29,0,0,1.01,0,397.76,0,0.54,0,7.29
 60-70,2.52,0,0,0,4.67,0.58,0,2188.37,5.5,0,4.88,572.84,0,0,11.84,0,0,9.35,0,0,0,878.98,0,8.15,41.09,3507.44,4.26,0.99,0,0,0,3.85,0,0,0,0,113.74,0,2.23,0,4.38
 72-82,0,0,0,0,11.98,7.32,0,1339.66,0,7.81,7.7,345.29,1.23,0,6.4,6.06,0.89,0,0.94,0.79,0,876.28,0,10.23,29.26,2003.19,0,0,4.14,0,3.63,0,0,0.64,0,0,57.16,4.06,0.55,1.9,11.92
 84-94,0,0,1.2,0,17.88,0,0,1257.47,0.84,0.68,4.2,221.91,0.66,0,0,0,0,0,0,0,0,702.66,1.94,19.18,48.91,1247.75,0,2.2,2.37,0,7.92,2.86,0,0,0,0,35.45,2.69,2.23,3.46,0
 96-106,0,0,0,0,16.09,8.13,0,740.3,0.6,0.97,11.06,219.43,0,0,0,2.18,0,0.66,1.07,14.37,0,432.79,0,14.52,34.28,1019.93,0,4.14,0,0,8.72,0.81,0,0,0,0,13.31,7.25,0,1.02,10.72
108-118,0,0,0,0,10.82,2.65,0,617.94,5.35,0.95,12.83,288.25,0,0,0,0.75,0.67,1.9,0,0,0.58,438.01,0,10.58,11.28,1410.24,0,0,0,0,13.25,4.48,0,0,0,0,21.04,0,2.05,0,1.37
120,0,0,0,0,11.97,0,4.06,400.66,0,0,4.76,354.18,0,0,10.58,0,1.45,0,0,0,0,228.24,0,24.57,19.39,1150.32,1.03,5.01,0,0,0,1.45,0,0,0,0,10.15,10.58,6.46,0,0
