stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,107.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75,0,0,0,11.38,0,0,4.97,0,0,0,0,0,0,0
 14-21,0,0,8.36,0,1.01,0,0,1.24,0,0,0,0,0.92,0,0,5.46,17.12,2.72,0,0,0,0,1.88,0,1,9.75,0,0,0,0,0
 24-34,0,0,2.37,0,1.02,0,0,1.59,0,0,0,0,1.49,0,0,2.17,96.16,1.17,3.56,0.74,0,0,0,1.26,0,20.71,0,0,3.68,0,0
 36-46,0,0,1,0,14.46,0,0,5.23,0,0.87,0,0,4.47,0,0,0.56,127.89,0,0,0,0,0,0,0,0,47.34,0,0,0,0,0
 48-58,0,0,0.79,0,47.95,0,0.45,10.5,0,0,0,0.74,10.02,0,0,1.89,95.8,1.2,0.64,0,0,0,0,0,0,25.27,0,1.28,5.67,0,0.56
 60-70,0,0,0,0,59.1,0,0.83,14.05,0,0.6,0,0,5.66,0,0,5.56,84.86,0,0.84,0,0,0,0,0,0,12.09,0,0,0,0,0
 72-82,0,0,2.48,0,60.93,0,0.94,3.94,0,0,0,0,10.41,0,0,0.94,74.06,0,0,0,0,2.81,0,0,0,1.15,0,0,2.7,0,0
 84-94,0,0,1.29,0,64.76,0,6.8,14.02,0,0,0,0,10.57,0,0.61,0.91,61.07,0,0,0.67,0,0,0,0,0,2.98,0,0,0.62,0.98,0
 96-106,0,0,0.63,0,64.67,0.6,0.63,14.46,1.66,0,0,0.69,11.87,0,0,0,67.64,0,0,0,0,0,0,0,0,5.36,0,0,0,0,0.58
108-118,0,0,0.99,1.04,30.01,0,0,17.28,0,0,4.38,0,12.64,2.35,0,0,38.94,2.09,3.65,0,0,0,0,0,0,0,1.83,2.03,0,1.3,0
120,0,0,13.58,0,62.9,0,0,16.8,0,0,0,0,8.28,0,0,0,66.27,0,0,0,0,0,0,0,0,0,0,0,5.85,0,0
