stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mural_cell,muscle,neural,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0
 24-34,0.61,0.64,0,0,0,0,0,0.85,0,2.46,7.51,0,0,0,1.09,0,0.64,0
 36-46,0,0,0,0.57,2.8,0,0,1.7,0,0,11.45,0,0,0,3.68,0,0,0
 48-58,0,2.56,0,0.6,10.84,0,0,3.34,0,0,9.28,0,3.05,0,0,0,0,0
 60-70,0,11.22,6.08,2.31,8.86,0,0,7.45,0.63,0,11.54,0,3.31,0,0,5.3,0,0
 72-82,0,7.13,0.53,0,5.65,0,0,5.36,0,0.71,11.35,0,0,0,0,0,0,0
 84-94,0,6.09,1.1,0.71,0,0,0,4.04,0,0,7.64,1.81,0.75,0,0,0,0,0
 96-106,1,3.28,0,0,3.18,0,0,5.02,0,0,8.53,0,4.82,0,0,0,0,1.84
108-118,0,0,0,0,5.09,0.49,0.74,1.39,0,0,1.88,0.65,1.25,0,1.28,0,0,0
120,0,13.05,0,10.08,0,7.95,0,2.62,0,0,9.71,0,12.08,0,0,0,0,0
