stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,47.34,279.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0,0,0
  5-6,12.52,118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,18.26,0,0,0,0,7.62,0,0,0,0,0,0
 10-12,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0,49.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,41.84,0,0,0,0,0,0,10.51,0,0,0,0
 24-34,0,0,0,0,5.4,0,0,0,0,0,0,0,0.72,0,0,56.88,0,2.49,0.69,0,0,0,4.2,0,0,0,0
 36-46,0,0,0,0,6.16,0,0,1.89,0,0,1.17,1.59,0,0,0,125.8,0.66,6.1,0,0,0,0,26.06,0,0,0,0
 48-58,0,0,0,0,10.13,0,0,5.25,0,0,0.44,0,0,0,0,180.8,0,2.75,0,0,0,0,29.2,0,0,0,1.88
 60-70,0,0,0,1.27,61.66,0,0,7.86,0,0,0,0,0,5.65,0,227.89,0,1.12,0,0,0,0,28.54,0.84,0,0,4.87
 72-82,0,0,0,2.19,58.56,0,0,4.77,0,0,0,0,2.71,0,0,194.17,0,2.88,0,0,0,4.35,16.6,0,0,0,0
 84-94,0,0,0.66,0.62,38.28,0,0,7.8,0,0,0,0,0,0,0,103.09,0,1.46,3.66,0,0,0,11.02,0,1.32,2.73,0
 96-106,0,0,0,0,38.32,0,0,4.87,0.6,0,0,0,0,0,0,135.31,0,2.14,1.55,0,0,0,6.69,0,0,0,0
108-118,0,0,0,0.47,32.59,0,2.59,6.96,0,0.53,0,0,4.99,0,0,106.04,1.51,2.32,0.79,0,0,0,5.54,0,0.71,0,0
120,0,0,0,0,51.1,1.54,0,8.08,0,0,0,0,17.27,0,2.43,335.75,0,1.54,0,0,0,0,5.78,0,0,0,0
