stage,endoderm,epidermis,eye,immune,mesenchyme,mural_cell,neural,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,9.57,0,0,0,0,0,0
  7-9,0,0,3.84,0,0,0,3.83,23.23,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.16,1.08,1.39,0,0
 24-34,0,0,0,0,0,0,0.69,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.11
 48-58,0,0,2.88,0,6.25,0,0,0,0,0,0,0,0
 60-70,0,0,4.19,0,5.67,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,11.77,0,0.72,0,0,0,4.74,0,0
 84-94,0,0,0.73,0,21.65,0.73,0.58,0,0,0,0,0.77,0
 96-106,0,1.09,4.1,0.62,15.7,0,0,0,0,0,0,0.69,0
108-118,0,0,0.83,0,18.78,0,1.4,0,0,0,0,2.09,0
120,1.28,0,0,0,43.49,0,0,0,0,0,0,32.84,0
