stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,7.42,0,14.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,35.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,1.42,0,0.82,0,2.35,0,9.12,3.46,0,0,0,0
 24-34,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,12.05,0,0,0,2.24,0,0.66,0.62,0,0,1.82,0,0
 36-46,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,19.1,0,0,0,7.69,0,0,0,0.7,0,0.65,0,0
 48-58,0,0,0,0,0,38.02,0,0,0,1.92,0,0,0,0,0,0,0,2.68,0,1.7,27.6,0,0,0,0,0,0,0,4.43,0,0,0,0
 60-70,0,0,0,0,0,538.55,0.89,0,0,0,0,0,0,0,0,0,0,3.34,0,8.26,29.82,0,0,0,0,0,0,0,2.95,0,0,0,0
 72-82,0,0,4.38,0,0,1387.87,0.76,0,5.63,10.84,0,0,0,2.21,1.13,0,0,1.49,0,2.02,49.68,0,0,0,0,0,0,0,1.21,0.67,0,0,8.48
 84-94,0,0,6.66,6.51,0,1007.67,0.55,2.11,0.7,23.45,0,0.78,0,0,0,0,0,10.38,0,7.82,46.91,1.25,0,0,0,0,0,0,7.84,0,0,0.77,0
 96-106,0,0,1.45,4.74,1.97,1609.38,0.93,2.64,0,34.68,0,0,3.95,0,0,1.13,3.46,12.3,2.39,0.68,42.72,0,0,0,4.57,0,0,0,0,0,1.93,0,0.75
108-118,0,0,8.4,0,0.57,1388.58,0,0,1.55,20.01,1.15,0,1.89,0,0,0,0.46,9.88,0,3.56,62.8,0.69,2.83,0,0,0,0,0,0,0,1.09,0,0
120,0,3.17,8.8,1.31,0,956.32,1.99,0,0,55.05,0,0,4.93,0,0,0,23.3,18.35,0,1.5,154.66,0,11.98,0,0,0,0,0,0,0,2.25,0,0
