stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,9.74,355.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.58,0,0,0,0,0,0,0,0
  5-6,18.21,243.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,0,0,48.23,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.3,0,0,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0,69.36,8.29,0,0,13.61,0,0,10.61,0,0,0,0,0,0,0
 10-12,0,0,5.18,0,0,0,16.75,0,0,0,0,0,67.82,0,0,0,0,0,0,0,0,0,0,288.42,5.29,0,0,50.81,0,6.67,4.37,0,0,0,0,0,0,0
 14-21,0,0,0,3.26,0,0,1.66,0,0,0,5.79,0,5.62,0,0,0.96,0,0,0,2.61,0,0,0.99,59.51,1.18,0,2.87,0,0,0,0,0,0,0,23.01,0,0,2.06
 24-34,0,0,0,2.49,0,0,8.18,0,0,1.7,1.1,0.61,0,0,0,4.1,0,2.11,0,0.59,0.71,0,1.52,99.41,0.73,0,3.76,0,0,34.35,0,0.6,0,0.59,18.82,0,0,3.6
 36-46,0,0,0,7.6,0,0,11.38,0,0,0,5.58,0,0,0,0,3.05,0,3.33,0,3.94,2.15,0,3.99,83.18,0,0.6,4.42,0,0,36.43,0,0,0,0,28.38,0,0,5.63
 48-58,0,0,0,1.66,0.41,0,29.77,0.67,1.45,2.71,17.15,0.49,0,0,0,9,0,2.24,0,3.67,0,0,0.38,84.37,0,2.11,3.41,0,0,35.54,0,0.38,0,0,15.29,0,0,4.92
 60-70,0,0,0,3.55,0,0,56.16,1.23,3.33,4.82,23.77,0,0,0,0,1.74,0,0.6,0,19.31,5.97,0,0,42.31,2,1.42,24.28,0,0,45.26,0,1.68,0,0,19.41,0.84,1.03,7.22
 72-82,0,0,0.56,2.92,0,0,20.03,0,0,2.56,13.93,0.7,0,0,0,7.62,0,0,0,7.52,0,1.43,0,25.2,0,0,5.12,0,0,22.95,0,4.52,0,0,1.4,0.95,0,6.7
 84-94,0,0,0,4.01,0,0,19.66,0,0,12.14,28.86,4.27,0.86,0,1.99,3.02,0,2.01,0.6,13,14.51,0,0,28.15,3.42,0.71,19.38,0,0,98.18,0,0,0,0,5.05,1.17,1.91,23.51
 96-106,0,0,0,5.51,3.85,0,31.82,0,0,4.89,10.94,6.43,0,3.32,0,11.17,1,1.93,4.87,8.08,8.14,0,1.82,22.62,0,1.27,7.96,0,0,88.69,0,1.24,0,0,2.16,3.18,0,3.32
108-118,0,0,0,7.66,3.73,6.08,16.36,0,1.13,4.85,11.6,7.47,0,0,0.63,8.49,1.95,0.47,5.23,16.03,7.98,0.57,2.38,18.54,0,1.32,20.16,0,1.14,55.63,0,1.78,3.18,0,5.52,1.89,1.17,2.4
120,0,0,0,14.43,0,0,3.13,0,0,0,25.37,0,0,0,3.24,8.41,0,5.67,9.08,9.11,0,0,3.93,23.03,0,0,9.23,0,0,34.87,0,1.13,0,0,0,1.19,0,3.47
