stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,1.33,1.69,0,0,0,2.21,0,0,0,0,0,0.84,0,0,27.15,0,0.96,0.86,0,2.43,8,0,0
 24-34,1.33,0,8.85,0,0,0.89,0,0,1.55,0,1.94,7.3,0,0,98.14,1.75,0,0,2.33,0,9.49,2.65,0
 36-46,1.67,0,31.96,0,0,8.33,0,0,0,0,0,18.67,0,1.52,133.29,0,0,1.4,0,0,16.27,0,4.51
 48-58,0,1.3,15.49,0.92,0.45,1.3,1.98,0,0,0,0,2.38,7.27,0.39,26.83,0,0,0,0,0,5.36,0,0
 60-70,0,0,28.76,0,0,0,0,2.11,0,0,0,3.5,0,0,14.78,0,0,0,0,0,0,1.96,0
 72-82,0.52,0,1.48,0,0,1.71,0,0,0,0,0,1.53,0,0.63,5.86,0,0,0.72,0,0,0,0.64,0
 84-94,1.76,0,22.15,0,0,1.62,1.71,0,0,0,0,10.73,0,0.93,13.04,0,0,0.66,0,0,0,1.01,0
 96-106,0,0,5.47,0,0,1.29,0.85,0,0.95,0,0,1.73,0,0,2.74,0,1.23,0,0,0,0,0,0
108-118,0,0.6,6.08,0,0,2.73,0.75,0,0.42,0.64,0,3.71,0,1.34,18.48,0,0,0,0,0,1.21,0,0
120,0,0,6.53,0,0,2.39,0,0,0,0,0,7.5,0,0,13.2,0,0,0,0,0,0,5.77,0
