stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,11.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.72,0,0,0
  5-6,37.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.34,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49,0,0,5.07,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.08,0,0,5.37,0,0,0,0
 14-21,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0,1.45
 24-34,0,3.11,0,0.75,0,0,0,0,0.74,0,0,0,0,0,8.6,0.95,0,0,1.23,0.65,1.61,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,16.21,0,0,0,13.11,0,7.37,0
 48-58,0,0,0,0.73,0,3.55,0,0,0,0,6.17,0,0,0,7.31,0,0.47,0,1.58,0,5.52,0
 60-70,0,0,0,2.57,0,3.09,0,0.78,0,0,0,0,0,0,4.94,0,0,0,15.53,0,1.22,0
 72-82,0,1.73,5.84,3.21,1.59,2.08,1.45,0,0,0,0,0.59,1.04,0,7.91,0.52,0.54,0,3.18,0,6.49,0
 84-94,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,21.94,0,0,0,6.43,0,0,0
 96-106,0,0.99,0,1.6,1.21,3.27,0,0,0,0,0,2.46,0,0,2.54,0,0,0,7.85,0,0.67,0
108-118,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,7.95,0,0,0,5.32,0,0,0
120,0,0,0,0,0,4.07,0,0,0,3.92,0,0,0,0,33.01,0,0,0,12.87,0,0,0
