stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0
 14-21,0,1.44,1.21,0,0,0,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,1.01,0,0.93,0,0,0,0,0
 24-34,1.16,0,0,0,0,0,0,0.62,0,0,0,0,0.86,0,0,24.74,1.04,1.27,0,2.74,0,0,0.85,1.88,0,0,0,0
 36-46,0,0,2.93,8.58,0,1.22,0,0,0,0,0,0,0.88,0,0,24.07,0,0,0,0.57,0,0,0,0.94,0,0,0,0
 48-58,0.52,0,0.96,1.7,0,0,0,0,0,0,0,0,2.92,0.56,0,13.72,0,0,0,0,0,3.5,0,3.76,0,3.93,0,0
 60-70,5.42,0,0,0,0,1.46,0,0,5.42,0,0,0,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,4.25,3.39,8.23,0,0,1.84,0,0,0,0,0,0,6.93,0,0,34.45,0,0,0,1.76,0,2.68,0,1.14,0,1.31,0,0
 84-94,5.03,0,12.63,0,0,1.62,0,0,0,0,0,1.76,1.78,0,0,20.96,0,0,0,1.98,0,0,0,3.93,0,7.56,0,0
 96-106,0,0,1.13,0,2.64,2.71,0,0,0,0,0,0,8.49,0,0.73,8.15,0,0.59,0,3.25,0,0,0,1.93,0.62,0,0.58,0
108-118,2.13,1.44,3.77,8.24,0,1.51,0.53,0,1.46,0.83,1.5,0,0,0,0,8.26,0,1.82,0,0.5,0,0,0,0,1.11,0,0,0.51
120,2.29,4.98,14.51,0,0,2.71,0,0,0,0,0,0,16.95,0,0,61.44,0,0,0,1.39,0,0,0,0,0,0,0,0
