stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm
  5-6,12.69,17.44,0,0,0,0,0,0
  7-9,0,0,0,21.59,8.58,119.8,4.27,57.76
 10-12,0,0,6.38,40.16,0,175.82,12.14,42.82
