stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.84,0,0,0,0
 14-21,0,1.25,2.88,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,1.05,0
 24-34,0,0,0,0.94,0,0,0,0,6.52,0,0,8.67,0,0,0,5.99,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0,4.81,0,0,0,0
 48-58,0,0,0,0.76,0,0,1.66,0,7.3,0,0,0,0.73,0,0,7.49,0,0.7,1.56,0
 60-70,0,5.1,0,0.78,0,0,0,2.64,5.3,0,0,0,0,0,0,11.17,0,7.2,0.88,0
 72-82,0,0,0,2.76,0,0,0,5.11,16.67,0,0,0,1.1,0,0,8.81,0,12.52,2.03,0
 84-94,0,1.27,0,0.94,0,0,1.27,14.73,17.8,0.74,0,0,0,0,2.93,6.27,1.95,51.25,1.2,0
 96-106,1.43,4.43,0,17.94,0.76,1.11,0.78,17.37,20.45,0,1.05,0,0.6,0.77,1.54,9.48,0,75.36,1.43,0.59
108-118,0,5.97,0,2.79,0,0,1.67,34.76,19.88,0.59,0,0,2.15,0,0,2.88,0,47.36,1.1,2.56
120,0,11.07,0,16.89,0,0,0,43.3,23.21,2.26,0,0,0,5.36,0,24.67,0,107.22,0,0
