stage,erythrocytes,eye,glial,mesenchyme,mural_cell,neural,spinal_cord
 10-12,0,0,0,0,0,19.94,0
 24-34,0,0,0,0,0,0,0.98
 36-46,0,0,0,0,0,0.96,0
 48-58,0,0,0,0,0,1.46,1.14
 60-70,0,0,0,1.52,0,6.18,0
 72-82,4.24,0,0.82,0,0,2.05,0
 84-94,0,0,0,0,0,2.8,0
 96-106,0,0.9,0,0,0,0,0
108-118,0,0,0,0.56,1.4,3.45,0
120,1.62,0,0,0,0,8.18,0
