stage,erythrocytes,eye,gut,mesenchyme,muscle,neural,otic,periderm,spinal_cord,xanthophores
 24-34,0,0,0,3.54,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.6,0,0,0,0
 48-58,0,0,0,0,0,3.02,0,0,0.69,0
 60-70,0,4.27,0,0,0,0,0,0,0,0
 72-82,0.52,4.38,0,1.2,0,5.79,0,0,3.21,0
 84-94,0,9.47,0,1.58,1.57,0,0,0,0,1.05
 96-106,0,0,0,0,0,0,1.09,0,0,0
108-118,0,14.95,0,1.57,0,4.9,0,1.31,0,2.73
120,0,11.74,5.27,0,0,0,0,0,0,0
