stage,blastomeres,eye,fast_muscle,fin_epithelia,glial,gut,immune,liver,mesenchyme,mural_cell,neural,olfactory,otic,spinal_cord
  3-4,20.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01
 24-34,0,0,0,0,0,0,0,0,0.98,0,7.44,0,0,1.13
 36-46,0,1.23,0,0,0,1.45,0,0,0.78,0,5.87,0,0.61,1.66
 48-58,0,3.95,0,0,0,0,1.18,0,0,0,16.21,0,0,2.42
 60-70,0,5.64,0,0,0,0,0,0,0,0,31.68,0,0,6.11
 72-82,0,0.85,0,0,0,0,6.92,0,0,0,44.04,0,0,8.83
 84-94,0,10.74,0,0,1.58,0,2.51,0,0.95,0,13.84,0,0,0
 96-106,0,11.17,0,0,0,0,9.91,0,0,1.42,27.61,5.72,1.55,0
108-118,0,2.99,2.62,0.58,0,0,7.84,0,4.24,0,18.29,0,0,0
120,0,0,0,0,6.7,0,5.38,19.69,0,0,59.22,0,0,0
