stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.35,267.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0
  5-6,0,44.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.03,0,5.17,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,19.34,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,43.04,3.27,0,0,14.86,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.81,0.83,0,0,0,2.02,0,0,0,0,0,0,0,0,3.21,0,12.27,28.06,1.04,0,0,1.03,1.95,0,1.83,5.89,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.75,0,0,0.77,0,0,0.82,0,0,0,0,0,1.67,1.66,31.79,0.65,12.75,0,0,1.42,0,5.02,0,7.28,0,0,0,0,0
 36-46,0,0,0,0,0,3.25,7.29,0,0,0.78,0,0,0,0,0,0,0,0,2.62,0.66,28.57,0,18.33,0,0,0,4.29,7.44,0,15.16,0,0,0,0,0
 48-58,0,0,0,0,0,0,20.24,0.48,0.9,3.07,0,0.37,0,0,0,0,0,0.56,10.87,0.92,55.5,1.74,6.67,0,0,0,0,6.18,0,19.39,0,0,0,0,1.04
 60-70,0,0,0,0,0,0,50.48,0,0,5.58,0,0,0,0,0,5.4,0,0,23.07,0.71,64.16,4.55,9.61,1.34,0,0,0.59,17.27,0,23.86,1.44,1.77,0,0,0
 72-82,0,0,0,0,0,1.15,41.61,0.51,1.15,12.16,0,0,0,0,0,0.79,0.82,0,9.67,0.62,92.26,0,15.15,0,0,0.63,0,4.91,0,5.6,0,0,0,1.87,0
 84-94,0,0,0,0,0,2.86,51.93,0,0,3.57,0.99,0,0,0,0,0,0,3.81,17.83,3.97,76.92,0.87,13.84,4.98,0,0,0,7.29,0,4.73,0,0,0,2.78,0
 96-106,0,0,0,0,0,2.07,91.64,7.54,0,5.96,0,0,0.75,0,0.61,0.63,5.58,0,15.72,0,34.31,0,9.02,1.16,0,0,0,9.81,0,12.16,0,0,0,0,5.06
108-118,0,0,0,0,0.51,2.01,74.4,20.79,0.77,2.79,0,0,1.52,1.43,0,0,0.68,0,17.96,9.12,95.68,4.45,11.45,5.21,0,2.07,0,20.88,0,5.36,0,0,3.28,0,0.59
120,0,0,1.43,0,7.82,0,191.15,12.63,0,7,1.25,0,0,2.29,0,0,0,0,23.08,0,175.04,0,15.45,15.85,0,0,0,9.14,0,15.16,0,0,0,6.74,0
