stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.05,291.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.97,48.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,7.18,0,0,0,0,0,0,0
  7-9,13.05,17.85,0,75.64,0,0,0,5.46,0,0,0,0,0,0,0,0,430.18,35.99,0,0,110.13,0,0,0,0,0,0,0,0,0
 10-12,0,9.63,0,143.57,0,0,0,7.8,0,0,0,0,0,0,0,0,549.6,11.87,0,0,52.08,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.7,0,8.94,0,0,5.02,0,0,0,0,8.1,0,9.42,29.14,0,0,0,0,0,0,0,1.08,0.85,17.14,0,0,0
 24-34,0,0,0.83,1.44,2.69,6.88,0,0,0.79,0,0,1.31,0,44.8,0,25.02,111.71,0,0,0,0,0,0,0.61,0,2.19,53.54,0,0.81,0
 36-46,0,0,0,2.2,0.6,0.8,0,0,4.79,0,0,0,0,32.23,0.74,10.66,101.39,0,0.56,0,0,0,0,0,0,0,62.29,0,0,0
 48-58,0,0,0,10.55,2.81,15.37,0,0,5.82,0,0,0,0,27.33,0,1.08,41.47,0,0,0,0,0,0,0,0,0,19.53,0,1.22,0
 60-70,0,0,0,2.01,0.77,6.88,0,0,0,0,0,0,3.59,50.44,0,5.68,51.81,0,0,0,0,0.71,0,0,0,0,20.81,0,0,0
 72-82,0,0,0,7.52,2.43,1.1,1.68,0,1.6,0,0,0,0,50.53,0,4.52,44.65,0,0,0,0,1.08,0,2.57,0,0,9.41,0.51,2.44,0
 84-94,0,0,1.26,7.76,0,8.06,0,0,0,0,0,0,0,89.95,0,3.16,45.08,0,0,2.48,0,0,4.95,0,0,0,5.95,1.31,1.06,1.35
 96-106,0,0,0.63,6.47,0.92,12.6,0,0,0,0,0,0,0,54.05,2.42,0,10.45,0,0,0,0,1.62,0,0,0,0,11.49,0,0,0
108-118,0,0,0,1.78,2.55,10.35,0,0,0,0,0,0,0,55.02,0,1.5,35.45,0.44,0,0,0,0,0,0,0,0,3.2,0,0,0
120,0,0,0,0,0,0,0,0,0,2.37,2.63,0,0,98.39,0,14.58,70.28,0,0,0,0,0,0,0,0,0,0,2.35,1.14,0
