stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,252.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0
  5-6,17.44,262.19,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.13,0,0,0,0,0,0,68.41,0,0,0,0,0,15.04,0,0,0,0,0,0,0,0,0,0,0,226.93,9.01,0,0,28.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.61,0,7.11,0,0,0,27.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.91,5.33,0,0,72.68,0,0,0,7.62,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,0,3.11,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,146.39,0.83,4.75,0,0,0,0,0,0,0,0.92,170.66,0,0,0,0,0
 24-34,0,0,3.5,0,15.54,0,0,41.11,0,0,0,2.55,0,0,0,0,1.75,0,0.82,0,0,0.76,0,0,8.14,1779.89,0,62.16,1.3,0,0,0.63,0,0,6.26,0,612.65,0,0,0,0,0
 36-46,0,0,2.35,0,2.32,1.33,0,225.77,1.33,1.39,0,5.25,0,0,1.5,0,1.15,0,1.8,14.68,0,9.59,0,0,3.01,5130.36,0.88,31.79,0,0,0,17.39,0.74,0,0.69,0,1084.4,0,0,0,0,9.74
 48-58,0,0,0,0,32.89,4.26,0,998.81,3.32,6.26,2.36,80.45,0,0,0,0,0,3.42,0.73,3.29,2.63,45.39,0,2.52,21.04,7190.71,0.97,25.5,5.6,3.66,0.9,7.22,0.56,3.69,0,0,1185.11,0,0,0.66,0,15.27
 60-70,0,0,0.57,0,7.8,14.48,0,2574.2,0.58,0,9.88,48.02,0,0,0,3.47,5.07,7.43,2.33,9.86,0,40.43,2.49,0.62,10.61,7264.81,0,10.98,4.86,0,0,17.17,0,1.62,0,0,1153.21,0.81,5.49,37.53,1.46,5.63
 72-82,0,0,4.78,0,20.31,11.5,0,2218.56,7.28,0,5.38,57.82,0,0,2.56,0.49,0,0,1.05,1.6,3.31,48.5,5.11,1.04,1.52,4776.17,0,19.55,0,0,3.31,1.99,0,0,3.15,0,663.31,2.01,1.79,17.61,17.18,2.17
 84-94,0,0,5.64,0,38.28,25.81,0,1474.44,0,0.63,3.65,75.58,6.88,0,1.27,4.39,0,0,1.74,0,0,52.67,0,11.23,1.08,3548.2,0,9.42,7.53,0,0.79,4.73,0,1.04,0.55,0,521.06,0,3.58,34.47,9.87,10.07
 96-106,0,0,4.65,0,25.1,10.2,0,1234.13,0,0,0,69.63,2.51,0,0,1.21,0.86,0.81,1.48,0,0,41.07,0,2.89,1.8,2502.3,0,11.77,0.79,0,0,6.64,0,0,0,0,217.16,7.02,0,36.65,19.45,19.86
108-118,0,0,0,0,19.27,4.83,0.92,1116.58,5.44,0,0.5,64.35,1.51,0,0.47,9.46,0,5.15,0,7.24,0,30.23,0,0.94,3.03,3087.91,0.54,28.6,2.42,0,4.36,2.26,0,0,0,0,161.64,0.48,0.75,36.03,20.68,3.72
120,0,0,0,0,19.08,0,0,821.16,0,2.36,0,125.88,0,0,0,9.18,4.55,0,0,0,0,35.9,0,2.35,13.25,3883.57,0,21.2,8.05,0,0,6.49,0,0,0,0,198.78,0,1.54,50.46,47.14,0
