stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,53.36,684.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0
  5-6,14.78,252.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,9.2,108.36,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.98,5.74,0,0,14.47,38.42,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.08,0,0,0,0,44.78,0,0,0,0,0
 14-21,0,0,0,0,15.11,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.74,0,0,0,0,147.74,1.07,0,0.9,0,0
 24-34,0,0,0,0.65,8.77,0,0,1.24,0,0,1,0,0,0.69,0,0,0,7.46,9.65,0,0.76,20,0,7.73,2.33,0,407.76,0,2.57,0,0,0
 36-46,0,0,0,0,9.95,0,0,0.65,4.87,0,0,0,0,11.72,0,0.57,0,0,0,12.99,0.72,33.92,0,1.54,2.42,0,442.7,0,0,2.6,0,0
 48-58,0,0,0,1.75,14.65,0.41,0,8.82,3.16,2.12,0,0,2.06,6.68,0,3.7,2.61,0,1.46,2.48,0,15.67,0,0.95,2.86,0,311.18,0,1.03,1.97,0,0
 60-70,0,0,0,0,8.3,0,0,16.51,12.48,0,0,0.84,0,2.9,0,2.44,3.14,0,5.67,2.17,0,18.54,0,3.68,0.85,0,305.18,0,1.05,0,0,0
 72-82,0,0,0.62,0,16.1,0,1.04,5.76,2.97,0,0,2.66,2.73,2.26,2.8,2.98,2.09,0,0,1.01,0,9.06,0,1.86,7.21,0,211.76,0,0,0,0,0
 84-94,0,0,5.13,0,25.83,2.35,0,8.07,4.85,0,0,3.9,2.61,16.92,0,1.27,9.49,0,3.76,2.36,0,17.02,0,8.49,10.6,0,389.97,0,4.17,0,0.57,0
 96-106,0,0,0,0,50.77,0,1.23,6.91,4.39,0,2.21,9.17,0,11.79,0.76,3.04,6.76,0,8.36,11.34,5.58,8.93,0,10.55,8.13,0,423.16,0,0.92,0,0.57,0
108-118,0,0,0,0,52.18,1.28,0.95,1.09,4.79,0,2.86,6.83,3.81,16.92,0,4.35,20.07,7.61,4.11,7.09,0,25.12,0,6.06,11.52,0,299.4,0,1.48,3.92,1.73,0.59
120,0,0,14.01,0,62.74,15.92,0,14.62,11.34,0,0,17.8,13.41,9.29,0,1.84,11.94,0,0,9.33,5.56,23.46,0,8.26,11.19,0,225.9,0,1.02,0,1.27,0
