stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,38.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,1.12,0,0,0,1.08,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,1.07,0
 24-34,0,0,0,0,1.82,0,0,0,0,0,0,0,1.48,0,0,0,7.16,1.29,1.22,0.86,0,6.8,2.16,0,0
 36-46,0,0,0,0,0.85,0,0.57,1.07,0,0,0,0,0,0,0,1.16,0,0.94,1.63,0,0,2.82,0.58,1.34,0
 48-58,0,0,0,0.69,1.32,1.55,0,0,0,0,0,0,0,1.23,0,0,2.94,0,0,0,0,3.13,1.15,0.72,0
 60-70,0,0,1.38,0,9.95,0,0,0,0,0,0,0,0,3.44,0.7,0,0.82,0,0,0,0,1.94,0,0,0
 72-82,0,0,0,2.39,5.08,0,0,0,0,0,0,0,0,4.72,0.54,0,0,0,0,0,0,2.08,0,1.51,0
 84-94,0,0,1.49,0,6.82,0,0,1.31,0,0,0.56,0,0,3.8,0,0,0,0,0,0,0,10.52,0,0,0.98
 96-106,0,0,2.82,4.28,0,0.58,0,0,0,0,0.68,0,0,5.28,0,0.7,0,0,0,0,0,3.49,2.15,0,0
108-118,0,0,2.31,1.3,4.83,0.52,0,0,0,1.36,0,1.25,0,3.57,0,0,0,0,0,1.88,0,2.86,0,0,0
120,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,5.01,0,0,0
