stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.45,2584.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.66,0,0,0,0,0,0,0,0,0,0
  5-6,30.53,695.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.66,0,0,0,0,0,20.07,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.86,0,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.99,0,0,0,31.37,0,0,7.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.3,0,0,0,4.88,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,48.89,19.58,0,0,48.9,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,4.66,0.91,0,5.32,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,35.23,8.03,0,0,2.14,0,0,1.26,1.1,151.71,50.57,10.57,0,0,0,0,0
 24-34,0,0.83,0,0,26.55,0,0,10.48,158.13,14.99,0,0,0,0,0,0,0,0,0,0,10.18,0,0,36.71,127.26,1.33,0,0,0,0,2.47,0,0,155.69,98.34,14.63,0,0,0.77,0,0
 36-46,0,0,0,0,5.27,0,0,8.29,197.29,15.68,2.72,3.07,0,0,0.95,0,0,0,0,0.66,15.52,0,2.9,12.66,80.33,0.59,0,0,0,0,0.62,0,0,96.26,4.84,13.81,0,0,0,0,0
 48-58,0,0,0,0,19.17,0,0,24.66,98.67,8.49,25.25,15.12,0,0,0,0,0,0,0,0,80.54,0,0.45,15.63,139.85,9.16,0,0,0,0.48,0,0,0,50.34,0,6.66,0,0.4,3.35,0,3.17
 60-70,0,0,0,0,5.58,0,0,83.24,65.38,5.85,36.37,11.02,0,0,0.76,7.25,0,0,0,0,323.67,0,0.65,23.93,249.02,0,0,5.21,1.62,2.88,3.51,0,0,26.19,0,9.85,0,6.02,0,3.6,10.73
 72-82,0,0,0,3.02,5.46,7.67,0,118.74,43.1,0,83.5,26.3,0,0,2.25,27.02,2.56,2.84,5.43,0,607.26,0.51,10,17,307.72,0,0.73,12.19,0,23.43,0,0,0,9.64,0,43.78,0,2.72,1.15,8.32,0
 84-94,0,0,0,9.19,4.69,0.78,0,190.13,67.78,1.68,93.5,38.83,1.01,0,0,41.44,0,3.06,0,2.16,737.97,0,10.23,8.12,241.73,0,0.6,8.47,0,7.85,3.5,0,0,17.43,0,10.44,10.03,0,0,0,0
 96-106,0,0,0,4.79,19.15,14.12,0,198.79,60.42,0,35.6,53.47,0,0,2.78,18.61,0,1.41,0,0,819.34,0,0.94,4.06,449.19,0,0,2.15,0,29.8,0,0,0,18.18,0,8.16,0,1.27,7.47,10.47,0
108-118,0,0,1.03,27.45,12.51,2.52,0,143.82,68.83,6.61,74.92,61.82,4.52,0,6.17,65.97,1.03,2.99,0,0.54,796.17,0.98,2.46,20.07,274.92,0,0.67,6.23,0,72.58,2.16,0,0,18.95,0,3.12,0,1.68,3.39,3.32,0
120,0,0,0,2.55,12.96,7.49,5.29,78.38,50.2,0,16.38,72.57,0,0,6.72,23.18,0,0,0,0,1055.4,0,0,18.67,378.51,0,0,4.19,0,90.56,3.01,0,0,12.13,0,21.09,0,0,0,2.63,3.58
