stage,eye,neural,olfactory,periderm
 14-21,0,0,0,1.02
 36-46,0,3.47,0,0
 48-58,0.59,8.66,0,0
 60-70,0.82,15.85,0,0
 72-82,0.83,3.68,0,0
 84-94,0,1.57,0,0
108-118,0,3.84,0.43,0
120,0,16.21,0,0
