stage,epidermis,eye,fin_mesenchyme,glial,mesenchyme,neural,olfactory,periderm,spinal_cord
 24-34,0,0,0,0,0,4.26,0,1.98,1.73
 36-46,0,2,0,0,0,15.12,0.59,0,3.47
 48-58,6.89,4.13,0,0.64,0.63,14.05,0,0,0
 60-70,0,8.62,0,0,0,29.97,0,0.81,0
 72-82,0,4.84,0,0,0,20.02,0,0.53,0
 84-94,0,6.11,1.93,0,0,0.9,0,0,6
 96-106,0,6.01,0,0,0,15.49,0,0,0
108-118,0,1.72,0,0.93,1.05,7.08,0,0,0
120,0,0,0,0,0,27.8,0,0,0
