stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43,5.46,0,4.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,23.67,0,0,0,0,0,0,0,0,0
 14-21,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,6.53,0,0,0,0,0.84,0,0,1.91,2.06,2.11,0,0
 24-34,0,1.38,0,0,0,0,2.01,0,0,0,2.55,0,0,9.8,0,0,9.51,0,12.44,0,0,0,0,0.7,0,0,1.15,0,0
 36-46,0,0.86,0,3.12,0,0.63,0,0,0,0,0,0,0,25.19,0,1.07,67.19,0,5.18,0,0,1.41,0.81,0,0,0,3.17,0,0
 48-58,0,0,0,13.04,0,0,3.86,0,0.48,0,4.62,0,0,11.77,0,2.71,43.81,0,22.78,0,0,0.39,0,0.37,0,0,4.28,0,0
 60-70,0,0,0,40.32,2.61,0,6.18,0,0,0,6,0,0,8.32,1.73,0,46.14,0,34.82,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,54.74,0,0,5.69,0.53,0,0,6.47,8.18,0,42.16,0,0.5,27.16,0,67.17,0,0,0,0,0,0,0,0,0,0
 84-94,0,0.9,0,41.85,0,0,6.53,1.26,0,6.97,11.81,0,0,1.32,0,0,72.32,0,56.62,0,2.93,0,0,0,0,0,2.06,0,0
 96-106,0,0,4.65,71.77,0,2.93,1.4,6.09,0,2.51,26.78,0,0,23.29,0,1.13,32.63,0,87.93,0,2.84,0,0,0,0,0,0,0,0
108-118,0,0.94,0,82.13,0.91,0,5.82,13.86,0,1.35,20.08,2.09,0.47,4.6,0,0,53.5,0,91.87,0,0,0,0,0,0,0,0,1.42,5.53
120,0,0,0,38.91,4.8,0,7.76,0,0,0,12.48,0,0,7.87,0,0,41.65,0,182.52,0,0,0,0,0,0,0,0,1.94,19.72
