stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,734.18,17402.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911.9,0,0,0,0,0,0,0,0,0
  5-6,1714.74,13263.01,0,10.26,0,0,0,0,0,0,0,281.12,0,0,0,0,0,0,326.18,16.79,0,50.26,1576.83,0,0,0,0,0,0,0,0,0
  7-9,698.47,74.36,0,254.38,0,0,1583.69,0,0,0,0,1234.94,0,0,0,0,0,0,1720.76,127.35,0,384.21,243.63,6.03,0,0,0,0,0,0,0,0
 10-12,0,9.4,0,19.52,0,0,1182.81,0,0,0,0,36.18,0,0,0,0,0,0,777.91,32.99,0,43.28,61.16,0,0,25.34,0,0,0,0,0,0
 14-21,0,0,0,0.96,21.69,0,6.16,0,0,0,0,5.1,0,0.91,0,3.37,7.89,1.24,15.94,2.17,0,0,87.86,0,1.94,0,7.09,0.85,2.19,0,0,0
 24-34,0,0,0,0,2.43,0,1.47,0,0,0,0,0,0,0,0,25.05,1.73,0,0,0,0,0,1.32,0,0,0.73,1.51,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.86,0,0,0,2.01,0,0,0.65,0,8.53,0,0.67,8.22,0,0,0,0,0,0,0,0,0,3.12,0,0,0
 48-58,0,0,0,0,0,0,3.52,0,0,0.59,0,0,0,0,0,8.97,3.56,0,16.97,0,0,0,8.95,0,0,0.53,0,0,3.21,0,0.43,0
 60-70,0,0,0,0,0,0,4.32,0,0,0,1.17,0,0,0,0,33.67,4.01,0,19.67,0,0,0,0,0,0,0,0,0,0,0,0,1.15
 72-82,0,0,0.49,0,0,0,1.71,0.49,0,0,0,0,0,0,0,115.87,1.96,0.78,27.35,0,0,0,0,0,0,0,0,0,3.51,0,0,7.86
 84-94,0,0,0,0,0.82,2.67,5.72,0,0,0,3.7,0,0,5.26,0,314.7,0,0,22.12,0,0,0,1.07,0,0,0.8,0,0,0,0,0,0
 96-106,0,0,0,0,5.7,4.41,42.78,0.57,1.4,0,3.68,0,1.61,1.66,1.02,394.35,14.56,0.92,68.56,1.64,0,0,6.3,0,0,0.87,0,0,0,0,0,1.75
108-118,0,0,0.93,0,2.55,0,14.69,0.52,0,0,2.04,0,0,4.4,1.3,741.01,9.66,0.48,55.29,0,1.47,0,3.51,0,0,0.91,0,0,1.58,0,2.61,2.54
120,0,0,0,0,1.23,0,36.8,1.49,0,0,5.21,0,0,1.4,0,277.06,12.39,3.36,10.64,0,0,0,0,0,0,0,0,0,0,3.8,0,0
