stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,6.33,1.03,0,10.62,0,0,0,0,0,0,3.19,0.86,0,0,0,0,0.83,0,0,0,65.79,1.96,1,2.8,1.11,2.57,0,19.45,0,0,0,0
 24-34,0,0,2.11,0,0,10.13,0,0,0,2.97,0.73,0,10.4,0,0,0,2.88,0,2.32,0,0,0,93.51,0,1.83,0.77,0.87,9.36,0,8.34,0,0,0,0
 36-46,0,0,1.65,0,0,11.24,0,0,0,0,4.19,0,8.65,0,0,0,6.15,0,0.76,0,0,7.4,42.94,0,0,4.36,8.78,2.22,0,10.79,0,5.63,0,0
 48-58,0,0,0.37,0,0,28.61,0,0,0,5.63,43.05,0,22.65,0,0,0,13.15,0,2.06,0,0,0,44.52,0,0,0.42,0,8.26,0,4.35,0,0,0,0
 60-70,1.96,0,0.65,0,0,23.79,0,0,0,3.16,75.83,0,26.1,0,3.49,0,17.17,0,8.25,0,0,0,41.05,0,0.6,0,4.12,21.33,1.38,0,0.61,0.72,0,0
 72-82,4.06,0,2.04,1.18,0,17.17,0.51,0,0,19.21,203.76,0,32.31,0,0,0,84.94,0,6.65,0.75,3.25,0,80.05,0.88,0,1.68,2.2,75.35,1.81,3.77,0.5,1.62,1.45,11.32
 84-94,4.31,0,7.41,7.43,0,22.7,0,0,0,14.82,396.59,4.19,30.03,0,5.22,1.42,123.03,0,11.69,0,0,0,52.46,0,0.93,0,9.16,224.39,0,7.75,0,0.91,0,0
 96-106,2.54,0,1.76,9.21,0,39.71,0,0,1.88,22,441.43,0,35.19,0,0.6,0.79,295.35,0,26.48,0,0,0,137.97,0,8.41,1.83,18.42,316.41,0,4.9,0,0.87,0.69,10.31
108-118,0,0,8.21,1.65,0.62,39.97,0,1.67,0,15.85,407.91,1.04,35.34,0.7,0,0,321.32,0.97,16.12,0,0,4.08,123.66,0,0.99,1.09,0.53,290.49,0,0.55,0,2.51,0,0
120,0,4.83,3.01,3.4,0,31.38,0,3.14,0,12.83,232.61,0,53.54,0,1.01,3.39,202.99,0,11.32,0,0,0,42.26,7.82,1.27,0,1,201.31,0,0,6.25,0,0,13.04
