stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,116.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,161.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.71,0,0,9.6,0,0,0,0,0,0,0,0,0,68.39,6.93,0,18.35,0,0,4.3,0,0,0,0,0,0
 10-12,5.69,0,0,0,24.59,0,0,0,0,0,0,0,0,0,46.95,0,0,37.23,0,0,9.03,0,5.18,0,0,0,0
 14-21,0,0,0,0,0.9,0,0,0,0.95,0,0,0,0,1.25,8.91,0,0,0,0,0,0,1.6,0,1.8,0,0,0
 24-34,0,0,0,0,0,0,0.86,0,2.52,0,0,0.71,0.68,0,8.41,0,0,0,0,0,0,0,0,3.5,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.37,0,1.56,0,0,0.4,0,0,0,0.81,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.68,0,0,0,0.61,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,5.29,0,1.27,0,0,0,0,0,0,0,13.33,0,0
 84-94,0,0,0.64,0,0,0.7,0,0,0,0,0,8.15,0,0,2.93,0,0,0,0,0,0,0,0,0,114.78,0,0.89
 96-106,0,0,1.62,5.05,1.25,0,0,0,0,0,0,0,1.34,3.06,16.25,0,0,0,1.57,2.67,0,0,0,0,273.06,0,0
108-118,0,0,1.97,0,1.16,0,0,0.62,0,0.49,0,2.91,1.07,0,6.37,0,0,0,0,0,0,0,0,0,352.31,1.23,1.07
120,0,0,2.44,0,0,0,0,0,0,0,1.23,0,0,0,14.22,0,0,0,0,0,0,0,0,0,112.13,0,0
