stage,epidermis,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,1.99,0,0,0,0.89,1.32,0,8.28,0,0,0,0,0,0,0,0
 24-34,0,0,1.51,0,0,4.54,0,45.91,1.38,1.68,0,0,0.76,11.6,0,0
 36-46,0,4.5,16.24,3.14,0,10.44,1.66,64.88,0,0,0,0,0,23.23,1.04,0
 48-58,1.03,0,31.77,6.2,0,0,0.55,32.62,0.56,7.38,0,0,0,3.47,0,0
 60-70,0,0,61.45,22.94,0,7.96,0,72.81,1.51,0.63,8.44,0,0,9.33,0,0
 72-82,1.59,0,28.72,5.29,0,4.24,0,58.99,0,0.75,0,2.23,0,6.39,0,0
 84-94,0,0,18.49,1.46,0,3.28,0,23.44,0,0,0,0,0,0.84,0,0
 96-106,0,0,23.05,0,0,2.96,0,26.34,0.56,0.59,0,0,0,0,0,0.9
108-118,0,0,5.09,0.97,0,0,0,19.73,0,0,0,0,0,0,0,0
120,0,0,10.83,6.79,0,0,0,37.21,0,0,0,0,0,18.95,0,0
