stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,28.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.54,0,0,0,0,0,0,0,39.27,0,0,11.35,0,0,0,0
 10-12,8.61,0,0,0,11.19,0,0,0,0,0,0,0,37.22,19.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.81,1.71,0
 24-34,0,1.37,1.17,0,1,0,1.92,0,0,0,0,0,22.15,0,5.94,0,0,3.19,6.09,0
 36-46,0,0,2.38,0,1.41,0,0.64,0,2.16,0,0,0,19.38,0,1.9,0,0,1.31,16.58,0
 48-58,0,0,0,0,3.4,0,3.26,0,5.06,1.16,0,0,28.96,0,21.87,0,0,0.4,5.19,0
 60-70,0,0,0,0,18.51,0,10.98,0,6.69,1.05,0,0,24.84,0,37.99,0,0,0,0.72,0
 72-82,0,1.76,0,0,20.1,0,13.54,0.56,5.41,2.01,0,1.18,47.55,0,27.43,0,0,1.72,6.78,0
 84-94,0,1.2,0,0,8.42,0,1.21,1.49,7.6,1.3,0,0,25.4,0,34.25,0,0,0.75,6.23,0.65
 96-106,0,0.99,0,0,16.37,0,2.78,0,16.51,6.03,2.34,0,18.91,0,41.95,0,3.85,0,0,0
108-118,0,0,0,0.47,0,0,3.12,0,9.57,0,0.97,0,12.97,0,45.7,0,1.12,0,2.41,0
120,0,0,0,0,4.8,1.61,0,0,12.26,4.1,0,1.1,29.24,0,29.62,0,0,0,0,3.35
