stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,22.1,140.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,136.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.25,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,65.36,0,0,0,15.81,0,7.8,0,0,0,0,0,0
 10-12,0,0,0,13.53,0,12.43,0,0,0,0,0,0,0,0,0,0,0,125.82,5.33,0,0,11.17,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.88,1.63,0,0,4.68,0.85,0,0,0,0,2.9,0,0,42.31,0,0,1.9,0.84,0,1.12,0.82,28.71,4.01,33.88,0,0
 24-34,0,0,0,0.59,1.71,5.12,0,0.99,8.23,0,0,0,0,0,3.46,0,0,48.09,0,21.04,1.77,0,2.2,0,0,38.56,1.29,19.99,0,0
 36-46,0,0,0,0,2.86,1.87,8.76,0,9.93,0,0,3.34,0.93,0,1.31,0,0,67.22,0.73,32.63,2.49,0,0,0,0,38.69,0,14.58,0,0
 48-58,0,0,0,0,0,4.79,0,0,8.43,0,0,0.51,0,0.83,0.87,0,0,15.46,0,28.35,0.66,0,0.38,0,0,9.32,0,26.48,0,0
 60-70,0,0,0,0,0,10.62,0,1.48,10.81,0,0,0.73,0,0,0.69,0,0,42.43,0,50.33,2.49,0,0,0,0,9.36,0,6.98,0,0
 72-82,0,0,0,0,1.78,12.05,0,0,12.44,0.67,0,1.43,0,0,5.52,0,0,25.67,0,67.39,4.62,0,0,0,0,2.44,0,4.97,4.55,0
 84-94,0,0,0,0,0,17.73,0,0,14.26,1.55,1.48,0.65,3.72,0,4.07,0,0,11.82,0,77.99,5.43,0,2.54,0,0,7.06,0,12.88,0,0
 96-106,0,0,0,0,3.96,11.77,0,0.76,9.58,1.17,0,1.92,0,0,8.17,0.75,0,21.71,0,71.89,9.81,0,0,0,0,3.44,0,4.11,2.36,0
108-118,0,0,0.75,0,1.45,10.76,0,0.43,13.72,1.38,0,3.68,0,0,5.51,0,2.78,19.46,0,65.59,9.44,0,0,0,0,7.69,0,15.4,0.91,4.21
120,0,0,0,0,0,12.75,0,0,27.67,1.42,0,4.72,0,0,0,0,0,15.79,0,106.23,28.18,0,0,0,0,7.9,0,21.24,0,0
