stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.89,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.46,0,0,12.52,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.61,0,0,4.22,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,3.61,0,0,0,0,0.89,2.13,0.9,0,0
 24-34,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,8.37,0.65,0,0,0,0.65,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98,0,0,0,0,7.31,0,2.19,0,0
 48-58,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0,12.66,0,0,0,1.24,5.02,0,2.34,0,0,0,0,0.75,0,0
 60-70,0,0,0,0,0,1.5,0,0,0,1.28,0,2.33,0,0,0,1.07,0,0,0,5,0,0,0,0.93,0.6,0,0.6,0,0
 72-82,0,0,0.71,0,5.91,1.26,0,0,0,0,0,2.2,0,0.66,5.43,2.18,0,0,0,8.58,0,3.63,0,0,0,0,4.45,1.15,1.25
 84-94,0,0,0,0,1.45,5.2,0,0.66,1.53,0,0,5.92,0,0,0,2.76,0,0,0,1.73,0,4.03,0,5.27,0,0,2.14,0,0
 96-106,0,0,0.94,2.09,0.65,0,0,0,2,1.99,0,4.91,0,0,0,11.1,6.7,0.58,0,6.7,0,1.43,0,4.91,0.57,0,2.6,1.05,0
108-118,0,0,0,1.44,5.97,0,0,0,9.91,3.38,1.34,3.14,2.18,1.82,1.1,10.94,0,0,0,7.13,0,3.62,0,9.5,1.02,0,0.46,1.51,0
120,0,0,0,5.72,0,0,1.33,1.37,0,13.04,1.15,27.43,0,0,0,23.22,3.49,0,4.29,4.7,0,2.34,0,22.93,12.24,0,0,6.42,0
