stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,32.88,0,0,12.92,0,0,0,0,0,0,0,0,0,0
 10-12,65.56,0,0,12.12,0,0,0,0,0,34.15,0,0,0,0,0,0,0,0,0,82.95,97.06,0,0,66.25,0,0,0,0,0,11.45,0,0,0,0
 14-21,0,21.38,0,1.13,0,0,0,0,1,9.09,0,0,0,0,0,9.09,0,0,5.88,8.3,8.5,0,0,0,0,0,0,12.61,93.75,52.07,23.15,0,0,0
 24-34,1.78,6.69,0,0.67,9.67,0,0,0,1.51,0,0,0,0,0,0.62,3.58,0,0,8.48,27.38,3.73,0,0,0,0,3.74,0,0,17.89,7.94,27.02,0,0,1.8
 36-46,0,0,0,1.24,46.64,0,0,0.7,1.39,0,0,0,0,0,0,10.79,0,0,2.3,27.64,0,1.29,0,0,0,0,0,0,12.12,0,9.85,0,0,0
 48-58,0,3.31,0,19.8,55.19,0,0,3.9,0,0,0.73,2.18,0,0.51,0,2.59,0,0,3.64,37.5,0.56,0.39,0,0,0.4,0,0,0,13.4,0,6.76,0,0,0
 60-70,0,0,0,15.06,36.36,0,0,0,0,0,0,0,0,0,0,2.71,0.63,0,2.38,26.56,5.57,0,0,0,0,0,0,0,7.67,0,7.31,0,0,2.79
 72-82,0,0,0,24.72,21.46,0,0,2.17,0,0,0,0,0,0,0,15.72,0,0,9.98,32.32,0,0.91,0.61,0,0,1.57,0,0,5.4,0,2.01,0,0.89,0
 84-94,0,0,1.07,13.4,20.03,1.13,0,0,0,0,0,1.38,0.75,0,0,5.37,0,0,1.64,22.83,1.3,0,0,0,0,10.96,0,0,7.42,0,0,0,2.14,0
 96-106,0,0.83,5.76,19.45,49.88,2.06,4.79,0,0,0,0,3.07,1.32,0,0,12.74,1.96,2.88,4.37,9.67,0,0.56,4.63,0,4.17,10.47,3.39,0,4.78,0,0,1.48,9.7,8.78
108-118,0,1.1,11.04,10.43,21.96,0,0,3.52,0,0,0,0,0,0,0,6.77,0,0,6.39,45.29,0,0,0.89,0,0,3.25,0,0,7.18,0,2.61,0,8.73,0
120,0,3.19,0,31.93,21.71,0,0,0,0,0,0,0,0,0,0,16.1,0,0,6.82,5.78,0,0,0,0,0,0,0,0,0,0,0,0,46.51,0
