stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,10.68,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0.84,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,42.24,0,0,0,0,0,1,0,0
 36-46,0,0,0,1.43,93.22,0,0,0,0,0,0,20.64,0,0,0,0,0,0,0,0
 48-58,0,2.17,0,22.78,450.53,0,0,4.49,1.09,0,0,69.94,0,0,0,0,0,0.56,0,0
 60-70,0,3.5,0,5.53,589.13,0,0,0,5.86,0,0,51,1.82,0,0,0,0,13.12,0,0
 72-82,0,5.62,0.51,27.06,547.45,0,0,0,11.68,0.92,0.84,47.53,0,40.69,0,0.95,0,7.32,0,7.57
 84-94,0,4.64,6.47,46.95,181.54,0,0,4.06,1.5,0,0,106.38,0,3.55,0,3.12,0,0,6.51,0
 96-106,0,10.01,0,23.79,154.6,0,0,0,27.81,0,0,26.94,0,0.8,0,5.61,0,0,5.25,0
108-118,0,0,0,60.18,247.75,0.54,1.17,0,5.65,0,1.39,39.88,0,0,0,0,0,2.21,0,0
120,0,7.52,0,80.59,211.87,0,0,0,20.97,0,0,85.3,0,0,0,0,0,0,0,0
