stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,4.49,0,0,0,0,0,0,0,0
 14-21,0,0,1.81,0,0,0,0,20.91,0,0,0,0,0,0,0,0.94,159.34,0,0,0,1.19,0,0,1.73,232.1,0,0,0,0
 24-34,0,0,0,0,0,2.58,0,24.88,0,0,0,0,0,0,15.69,0.89,960.34,0,3.22,3.92,0,2.18,0.94,0,997.02,0,0,2.44,0
 36-46,0,0,0.59,0,0,17.27,0.57,10.79,0,0.79,0,0.57,5.06,0,2.17,0,1356.24,0,0.67,1.59,0,0,0,0,1604.23,0,0,0,0
 48-58,0,0,5.97,0,0,119.64,1.02,30.45,0,0,0,0.4,0,4.46,18.63,2.26,1924.42,0,0,8.39,0,1.91,0,0,1872.57,0,0,0,9.46
 60-70,0,0,2.31,0,0,136.02,0.84,64.92,9.59,0,0,1.59,0,0,32.93,2.53,1627.21,5.04,0,4.67,0,5.43,0,0,1413.62,0,0,0,0
 72-82,0,0,2,0,0,179.26,1.01,74.23,0,0,0,0,1.65,0,33.66,7.63,1844.77,0,0,11.32,0,0,0,0,1040.86,3.83,0,0,0
 84-94,0,0,5.74,0,0,165.04,0,71.95,0,0,0,2.34,0,0,23.16,0,1115.45,0,0,23.44,0,1.02,0,0,627.8,2.5,0.84,0,0
 96-106,0,5.6,10.65,0,1.09,68.19,0,75.82,0,0,0,4.18,0,0,62.4,0,990.79,0,0,31.14,0,9.2,0,0,299.37,1.68,0,1.91,0
108-118,0,0,13.27,2.3,0,65.93,0,90.58,0,0,1.15,5.16,0,0,51.8,4.54,1186.86,0,0,20.82,0,0,0,0,250.28,0.68,0,0,0
120,0,0,4.71,0,0,109.32,0,130.47,0,0,0,2.6,0,0,65.72,0,1307.53,0,0,33.42,0,1.88,0,0,254.92,0,0,6.49,0
