stage,epidermis,eye,fast_muscle,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.74,0,9.24,0,0,0,0.94,0
 36-46,0,1.71,4.94,0,0,0,0,0,1.08,0,0.98,0,0,0,0,0
 48-58,0,0.84,9.98,0,0,6.16,0,0,1.21,1.44,9.27,0,0,2.14,0.8,0
 60-70,0,0,6.92,1.03,0,0,0,0,2.09,2.5,3.86,0,2.8,0.6,0,0
 72-82,0,2.42,1.29,0,0,0,0,1.31,1.31,0,8,0,0,1.94,0,0
 84-94,1.1,2.9,23.23,0,0,1.33,4.3,0,0,0.67,4.8,0,0,2.46,0,0.71
 96-106,0,11.88,6.08,2.52,1.1,0,0,0,3.22,8.07,11.91,0,0,2.13,0,0
108-118,1.12,1.08,5.02,0,0,0,0.59,0,2.91,1.09,1.08,0,0,4.19,0,1.4
120,0,0,0,0,0,0,0,0,0,0,13.42,0,0,0,0,0
