stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,48.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.62,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.05,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.02,0,0,0,34.14,0,0,0,6.83,0,0,0,0,0,0,0,0
 14-21,0,0,1,10.58,10.47,0,0.86,0,1.58,0,1.4,0,0,0,0,0,0,0,0,11.47,0,0,17.95,5.77,1.73,0,0,2.7,0,0,13.91,0,1.23,10.18,16.47,0,0,0.81,0,0
 24-34,0,0,0,11.16,0.81,0,13.97,2.28,7.09,6.13,0,0,8.78,0,0,2.17,0.86,0,0,186.76,0,1.52,74.44,111.35,10.58,2.43,3.03,0,0,0,0,0,44.48,23.75,29.44,0,0,23.86,0,2.6
 36-46,0,0,0,32.79,2.35,0,6.26,9.87,2.48,11.1,9.51,0,1.36,0,0,6.35,1.29,0,0,295.17,0,5.16,98.4,98.26,7.13,1.15,0,0,0,3.64,1.39,0,37.59,0,20.06,0,1.23,32.3,0,0
 48-58,0.77,0,0,16.84,3.94,0,31.94,11.29,15.66,13.62,12.75,0,3.22,0,0,13.05,2.18,6.3,0,346.94,1.32,14.25,56.62,193.73,11.67,0,14.73,0,0.39,1.3,0,0,20.18,0,28.63,0,1.68,38.28,0.5,0
 60-70,0.81,0,0,45.08,0,0,35.43,17.86,29.38,12.97,21.83,0,6.56,0,0,22.08,1.27,0,2.93,672.43,1.91,35.18,51.76,134.13,18.47,1.22,11.35,0,10.41,5.44,0,0.62,17.66,0,39.1,0,13.22,22.84,10.29,0
 72-82,0,0,0,17.9,2.35,0,41.59,8.28,5.61,26.5,39.25,0,8.77,0,1.02,12.72,3.76,0,0,663.78,0,22.99,44.2,77.22,4.61,1.65,3.68,0,3.61,1.09,0,2.46,8.27,0,11.89,0,22.33,51.95,15.01,5.04
 84-94,0,0,1.04,49.28,4.77,0,48.39,15.35,26.91,15.19,28.48,0,2.54,4.08,1.16,21.04,3.05,0,7.3,567.26,1.98,37.99,28.49,62.15,5.7,2.2,14,0,0.79,2.85,0,0,6.99,0,19.56,0,20.04,52.65,30.82,0
 96-106,0,0,0,14.69,0,0,31.58,2.89,4.04,6.25,29.44,2.32,3.39,0.74,0.68,30,1.08,1.8,1.84,445.95,0.76,25.88,33.85,85.78,3.42,9.61,8,0,19.71,5.96,0,0.6,14.14,0,6.01,0.8,16.23,53.41,14.25,5.35
108-118,0,0,0,58.08,2.15,0,61.27,3.64,15.51,28.58,51.52,5.49,5.92,0,0,55.28,8.37,4.53,0.97,689.38,0,39.68,35.66,90.87,6.97,1.98,20.75,0,27.67,2.17,0,2.39,3.31,0,8.82,0,15.75,41.09,24.62,2.14
120,1.12,0,0,136.79,0,2.68,158.53,18.18,46.08,1.56,94.98,4.14,1.17,0,5.57,93.74,2.81,15.05,1.51,1037.9,0,112.47,80.21,199.92,34.35,1.88,36.4,0,42.82,1.25,2.24,0,4.35,0,11,0,77.96,102.79,40.15,0
