stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.2,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,23.15,0,0,0,4.71,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0
 14-21,0,0,2.8,0,0,0,0,1.05,0,0,0,0,0,0,0,0,1.94,0,0,1.87,18.7,0,0,0,0,0,0.88,1.66,0,2.81,11.14,0,0
 24-34,0,1.86,1.96,0,1.08,0,0,0.93,0.92,0,0,0.69,0,0,0,0,1.97,0,0,2.84,52.85,0.63,0,9.76,0,3.34,0,0.6,0,0,13.63,0,0.81
 36-46,0,0,1.95,0.9,3.49,0,0,2.85,0,0,0.89,0,0,0,1.94,0,5.12,0,0.88,0,44.01,0,2.02,0.69,0,6.34,0,0,2.3,0,11.44,0,1.85
 48-58,0,0,0.39,0,18.94,0,0.82,6.02,0,1.3,0,0,0,0,0,0,2.62,0,0,0,50.93,0,0,2.58,0,9.73,0,0.46,0,0,9.19,0,0
 60-70,0,0,20.15,0,56.01,0,2.09,0,0,0,0,0,0,0,0,0,9.79,0,0,0,53.59,0,2.5,8.91,0,0,0,0,0,0,6.24,0,0
 72-82,0,0,1.03,0,37.03,0,0,2.18,0,0,0,0.5,0,0,0,0.96,19.84,0,1.08,0,37.51,0,1.2,6.52,0,1.93,0,0,0,0,1.35,0,0
 84-94,0,0,2.82,0,45.5,0,0,2.67,0,0,0,0.56,1.18,1,0.66,0,11,0,0,0,17.73,0,0,0.7,0,0,0,1.35,0,0,12.9,0,1.24
 96-106,0,0,0,0,23.01,2.82,1.81,6.08,0,0,0,0,0.92,0.89,0,0,7.39,0,0,0,31.83,0,0,4.24,0,6.54,0,1.78,0,0,0,0,0
108-118,0,0,0.51,0,15.33,0,0,2.61,2.02,0,0,0.43,1.14,0,8,0,2.07,0,0,0.96,39.8,0,0,1.74,0,4.49,0,0,0,0,2.4,0,1.36
120,0,0,0,16.03,6.73,0,0,0,0,0,0,0,0,0,0,0,23.03,2.91,4.59,2.81,93.52,0,0,6.5,0,3.3,0,1.38,0,0,0,2.09,13.73
