stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,78.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.86,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.85,0,3.58,0,0,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,42.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6,0,0,0,4.28,0,0,0,0,0,0,9.66,0,0,0,0,0,0
 14-21,0,0,0,9.04,2.08,1.82,0,0,0,1.1,2.84,0,0,0,0,0,0,0,0,2.99,0,0,3.81,16.57,0,0,0,0,0,8.94,4.75,1.09,223.79,4.61,0.81,8.25,0,0,7.09,0,0
 24-34,0,0,0,1.54,0,7.45,0,0.61,0,0.6,0,0,0,0,2.24,0,0,0,0,10.29,0,0,4.88,74.17,0,3.18,4.64,0,0,21.56,0,0,620.34,0,0.9,6.35,0,0,3.11,0,0
 36-46,0,0,0.56,5.74,0,3.72,0,0,0,2.58,0,0,0,0,0,0,0,0.67,0.61,13.97,0,0,0.96,38.82,11.43,1.14,0,0,0,38.37,0.81,0,334.09,0,0,4.18,0,0,15.57,0,1.74
 48-58,0,0,0,4.35,0,5.63,0,0,0,9.46,0,0,0.59,0,0.44,4.61,0.48,0.37,0,23.56,0,0,1.85,32.85,0,0,15.7,0,0,17.14,0,0,176.54,2.5,0,6.47,0,0,8.92,0,0
 60-70,0,6.75,0,0,0,22.78,0,1.86,0,16.09,0,0,0,9.53,0,0,2.68,6.47,0,16.98,0,0,0.6,40.14,0,0,11.79,0,0,4.56,0,0,182,1.01,0,4.51,0.81,0,5.46,0,0
 72-82,0,0,0,9.28,1.33,22.99,0.8,0,4.01,20.07,6.69,1.11,0,0.94,2.2,6.41,7.27,0,0,38.34,0,0,0.6,54.04,0,1.46,17.68,0,0,9.39,0,0,193.25,0,0,0,0,12.02,3.11,0.52,4.07
 84-94,0,0,0,2.49,0.99,9.18,0,0,0,16.55,13.54,0,0,0,1.91,0,7,0.74,0,19.45,0,0,7.34,39.62,0,0,21.43,0,0,17.28,0,0,356.7,0,0,4.33,0,0,13.5,0,0
 96-106,0,0,0,1.92,0,25.21,0,0,1.88,4.1,88.69,0,0,1.08,0,1.47,25.07,0,0,16.36,0.68,13.35,5.12,52.91,0,1.79,29.58,0,0,9.68,0,0,313.97,1.27,0,0,0.81,0.75,16.9,0.8,0
108-118,0,0,0,7.55,0,24.63,0.75,0,1.79,14.67,218.94,0,0,1.36,0.48,4.88,8.77,0.43,0,39,0,0,0.55,78.63,0,0,41.74,0,2.92,12.03,0,0,256.19,1.22,0,0,4.69,2.26,5.64,1.9,0
120,0,0,0,13.87,1.53,41.45,1.04,3.95,0,10.79,178.97,0,0,4.66,1.76,0,12.56,27.77,0,53.98,0,0,5.08,115.31,1.29,0,13.88,0,4.48,28.28,0,0,156.82,2.33,0,0,0,2.09,28.35,0,0
