stage,blastomeres,endoderm,epidermis,eye,glial,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord
  3-4,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,17.33,0,0,11.98,0,0
 10-12,0,7.71,0,7.72,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.66,0,0,0,0,0,15.68,0,0,0,0,1.72
 36-46,0,0,0,0.89,0,0,0,0,0,4.58,1.48,0,0,0,0
 48-58,0,0,0,0.52,1.24,0,0,0.4,0,2.4,0,0,0,0,2.58
 60-70,0,0,0,19.57,0,0,0,0,0,1.07,0,0.65,0,0,0
 72-82,0,0,0,0.68,0,0,0,0,0,9.08,1.33,0,0,0.77,0
 84-94,0,0,0,0.58,0.59,0,0,0,0,0,0,0.95,0,0,0
 96-106,0,0,0.97,4.53,0,0.64,0.58,0,0,6.64,0,0,0,0,0
108-118,0,0,0,7.04,0.7,0,0,1.09,0,3.34,0,0,0,0,0
120,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0
