stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,106.33,2028.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.69,0,0,0,0,0,0
  5-6,159.16,2264.7,0,16.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.76,42.14,20.2,0,30.69,0,0,0,0,0,0
  7-9,7.38,10.06,0,28.11,0,0,0,69.32,0,0,0,18.86,0,0,0,0,0,0,0,0,650.41,19.71,191.13,0,0,19.28,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.45,0,21.31,0,0,5.95,8.76,0,0,0,0
 14-21,0,0,0,0,38.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,0,0,0,1.08,2.56,0,0,0
 24-34,0,0,0,0,19.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,1.19,0,0,0,0,0,0.94,1.05,0,0,0
 36-46,0,0,0,0,1.45,0,0,0,0,0,0,0,0.73,0,0,0,0,6.58,5.25,0,0,0,0,0,0.95,0,0,0,0,0,0
 48-58,0,0,0,0,0.56,0,0,0,0,0,3.48,0,0,0,0,0,0,0,6.62,2.43,0.42,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,2.35,0,0,0,18.58,0.85,18.55,0,0,0,0,0,0,0,2.11,9.85,10.47,0,0,2.87,0,0,0.73,0,0,0,0
 72-82,0,0,2.65,0,1.21,0,0,10.49,0,6.1,94.77,0,0.87,0,0.63,0,0,3.36,26.08,0,21.93,0,0,0,0,0,0.88,0,0,0,0
 84-94,0,0,3.19,0.7,3.97,0,0,12.79,0,0,231.66,0,0,0.82,0,1.25,0,3.78,18.26,0,9.76,0,0,0,1.64,0,0,3.76,0,0,0
 96-106,0,0,9.53,0,8.98,0,0,18.58,1.71,7.99,547.89,0,0,0,0,0,1.3,72.29,19.95,0.92,181.44,0,0,2.97,5.85,0,0,7.22,0,1.93,2.8
108-118,0,0,14.24,2.12,1.64,7.71,1.01,13.51,0.43,3.73,820.74,0,0,0.87,0,2.25,0,93.82,19.69,1.24,206.72,0,0,0,2.83,0,0.92,1.9,0,0,3.2
120,2.37,0,13.66,9.52,8.76,0,0,7.45,0,0,397.33,0,0,1.96,0,0,0,53.49,14.54,1.91,123.76,4.62,0,0,0,0,0,0,1.09,0,0
