stage,heart,mesenchyme,muscle,neural,periderm
 24-34,1.01,0,0,0,1.95
 36-46,0,9.94,0,0,0.93
 48-58,0,0.73,0,0.92,2.11
 72-82,0,0.99,0.5,0,0
108-118,0,0,0,3.28,0
