stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,99.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.16,0,0,0,0,25.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.79,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,2.64,0,0,0.93,20.67,0,0,0,0,0,0.91,7.61,0,1.64,12.38,0,0,0,0,0
 24-34,0,0,1.94,0,0,7.07,0,0,0,1.35,0,2.52,0,0,0,0,0,4.07,0,0,1.71,215.08,0.77,0.69,0,0,0,0,4.48,0,0,313.75,0,0,0,0,0
 36-46,0,0,3.17,0,0,40.11,0,0,0,6.03,0,2.78,0,0,0,0,0,11.83,0.59,0,3.33,953.26,0,0,1.27,0,2.16,0,7.42,0,0,1089.35,0,0,0.8,0,0
 48-58,0,0,23.28,0.41,0,108.33,0.73,0,0.47,25.89,0,0.63,0,0,0.47,0,0,16.7,0,0.81,3.63,2553.36,2.22,0,7.87,0,0.65,0,0,0,0,1274.14,0,0,0,0,21.09
 60-70,0,0,2.05,0,0,194.9,2.07,3.99,0.7,16.61,0,0,0,0,0,0,0,60.65,3.03,0,3.27,2924.79,0,0,4.41,0,0,0,2.92,1.29,0,1204.39,0,0,3.68,0,2.89
 72-82,0,1.72,2.7,0,0,434.8,0,0,1.03,42.61,0.61,0,0,0,0.65,0,0,48.65,0.83,0,10.41,3504.2,0,0.68,0.74,0,4.12,0,0.57,0,0,1067.85,2.32,2.05,8.32,0.56,0
 84-94,0,0,16.88,0,0,326.73,0,1.37,0.77,62.41,1.91,0,1.25,13.83,1.7,0,0,44.41,0,2.23,6.9,2087.13,0.65,0.55,4.4,0,5.16,0,0.81,0,0,566.48,0,0.85,2.42,0.92,0
 96-106,0,2.37,10.62,2.78,1.05,373.76,0,0,3.35,72.74,1.25,2.94,0,0.77,0.83,2.64,0,70.68,0,8.59,1.57,1793.42,0.62,2.47,11.32,0.81,5.21,0,0.57,0,0,294.58,2.03,2.47,0,3.58,4.47
108-118,0,0,13.61,0.42,0,376.64,0,0.71,0,65.28,0.86,0.83,0.47,15.44,0,0,2.88,59.43,0,2.38,4.42,1852.24,0,1.33,19.61,0,5.5,0,0,0,0,247.79,3.42,0,4.93,6.13,0
120,0,0,21.39,2.15,0,510.67,0,0,1.61,104.79,1.12,3.7,0,7.23,2.19,0,0,106.58,0,3.17,21.42,2914.66,2.35,0,0,0,0,0,5.18,0,0,452.19,6.72,1.52,0,4.52,0
