stage,blastomeres,epidermis,eye,glial,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,presomitic_mesoderm,spinal_cord,vasculature
  5-6,13.12,0,0,0,0,0,0,11.33,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,16.7,0,3.54,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.65,5.19,0,0,0,0
 14-21,0,0,1.87,1.06,0,0,1.04,21.74,0,0,0,1.88,5.98,0
 24-34,0,0,0,0,1.22,0,0,5.08,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0
 48-58,0,0,8.18,0,0,1.24,0,22.98,0,0,0,0,0,0
 60-70,0,0,53.48,0.79,0,0,0,52.85,0,0,0,0,0,0
 72-82,0,0,43.46,1.78,0,0,0,97.62,0,0,0,0,4.88,0
 84-94,0,0,66.17,0,0,0,0,20.25,0,0,0,0,2.85,0
 96-106,0,0,123.34,0,0,7.47,0,48.07,0,0,2.27,0,1.16,0
108-118,0,0,65.67,8.86,0,0,0,90.9,0,0,0,0,0,1.1
120,0,8.79,109.3,0,0,0,0,129.62,0,0,0,0,6.69,0
