stage,axial,blastomeres,endoderm,eye,hatching_gland,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,0,167.7,0,0,0,0,0,0,0,0,0,62.92,0,0
  5-6,34.36,305.43,0,0,0,0,0,0,0,0,0,19.45,0,0
  7-9,0,10.53,10.94,10.04,8.49,0,0,0,307.55,0,126.48,0,0,0
 10-12,0,10.81,53.27,59.95,3.05,0,0,0,491.13,34.38,149.12,0,33.15,0
 14-21,0,0,0,0.83,0,0,0,0.89,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0
 48-58,0,0,0,0,0,0,0.48,0,1.79,0,0,0,0,0
 60-70,0,0,0,0,0,0.7,0,0,12.56,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0.57
108-118,0,0,0,0,0,0,0,0,4.01,0,0,0.78,0,0
