stage,epidermis,eye,fin_epithelia,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,8.28,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0.81,0,0
 24-34,0,0.61,0,0,5.73,0,0,0,0,0.79,1.03,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,12.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,39.97,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0
 72-82,2.17,0,0,4.8,74.95,0,0,0,0,0,0,0.68,0,0,1.8,0,0,0,0
 84-94,1.92,0,0,0,67.53,0.65,0,0,0,0,3.22,0,0,0,5.4,0,0,0,0.95
 96-106,21.79,6.64,2.65,23.83,109.06,3.7,0,8.23,0,1.66,6.29,0,0,0,44.07,0.76,0,0,0
108-118,15.86,0,1.03,18.9,64.17,4.43,0,0,0,0.41,1.78,0,0,0.89,29.38,0,0,3.06,0
120,33.24,0,1.15,46.91,79.74,7.01,2.12,0,4.8,0,3.31,1.46,0,0,8.38,0,0,0,0
