stage,epidermis,eye,glial,gut,iridophores,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  7-9,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,26.04,0,8.95,0,0,0,0,0
 14-21,0,2,1.05,0,0,0,1.11,0.91,44.16,0,0,1.03,0,12.38,0,0
 24-34,0.94,0.85,0,0,0,0,0.77,0.88,122.71,0,0,0,0,34.05,0,0.72
 36-46,0,1.24,2.99,0,0,1.29,1.59,0.97,124.9,0,0,0,1.06,23.44,0,0
 48-58,0,7.32,1.63,0,0.38,0,4.32,0,75.38,0,0,0,0,17.06,0,0
 60-70,0,30.89,12.07,0,0,0,0.61,0,101.32,1.29,0,0,0,9.36,0,0
 72-82,0,21.23,1.84,0.56,0,0,4.59,0,60.52,0,0,0,0,8.44,0,0
 84-94,0.63,10.3,3.41,0,1.31,0,2.61,0,28.49,0,0,0,0,6.43,0.71,0
 96-106,0,12.2,2.15,0,0,0,5.02,0,23.24,0,0,0,0,0,0,0
108-118,0,2.81,1.04,0,0,0,1.73,0,21.14,0,0,0,0,0,0,0
120,0,27.41,15.36,0,0,0,0,0,53.35,0,0,0,0,8.31,0,0
