stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,250.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,227.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59,14.47,0,0,0,0,11.11,0,0,0,0,0,0,0
  7-9,6.67,0,0,0,0,0,5.04,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,21.69,4.03,0,0,44.93,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.65,31.06,0,0,45.83,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,4.35,14.94,8.27,0,0,2.23,0,5.57,6.17,0,12.88,8.58,0,0,0
 24-34,0,0,0.84,1.64,0,0,3.3,0,0.7,0,0,0,0,4.3,0,0,0,2.24,1.53,0.72,0,0,0,185.57,0,10.8,0,0,0,21.96,0,0,3.57,50.28,0,0,0
 36-46,0,0,0,1.42,0,0,38.99,0,0,0,1.57,0,0,1.71,0,0,0.83,0,7.86,22.47,0,1.2,2.31,494.82,0,7.36,0,0,0,58.96,0,0,0,130.83,0.71,0,0
 48-58,0,0,0,0,0,0,89.16,2.02,0,0,0.42,0,0,0.44,0,0.49,1.43,2.23,0,9.86,0,0.4,0,372.82,0,7.94,0,0,0,41.54,0,0,0,84.32,0.44,0,0
 60-70,0,0,0,12.89,0,0,94.89,0,0,4.89,2.18,3.45,0,1.18,0.81,0,3.59,0,0,22.41,0,0,1.26,248.41,0,0.96,0,0,0,46.67,0,2.66,0,55.27,0,0,0
 72-82,0,0,0,3.2,5.06,0,46.31,0,0,0.67,4.06,0,0,1.72,0.67,0,3.51,0,0,23.7,0,0.54,1.23,115.05,0,13.89,0,0,2.36,55.82,0,0,0,10.95,0,1.49,0
 84-94,0,0,1.15,2.07,9.41,0,49.08,0,2.8,0,0,6.5,0,4.89,0,1.86,3.77,1.81,0,31.45,5.3,0,1.89,106.3,0,2.21,0,0,0,103.07,0,0,0,10.94,0,0,0
 96-106,0,0,0,0.68,11.38,0,48.68,0,1.38,0,5.87,0,0,0,2.15,0.6,5.62,0,0,21.76,5.88,0.88,2.05,51.02,0,2.78,0,0,7.04,115.65,0,0,0,0,0.64,0,1.41
108-118,0,0,0,10.07,0,1.31,66.06,0,1.72,2.81,0,0,0,0,0.94,1.92,5.9,0.48,3.48,34.06,0,0,2.79,96.76,0,6.06,0.43,0,3.72,113.43,0,0,0,1.1,0.95,0,2.15
120,0,0,0,7.67,0,0,64.17,0,2.36,11.1,1.91,1.19,0,0,0,5.63,0,0,0,74.89,1.65,0,0,130.08,0,15.55,2.2,0,0,41.64,0,0,0,0,0,0,0
