stage,blastomeres,epidermis,erythrocytes,glial,gut,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  5-6,48.56,0,0,0,0,0,0,0,0,9.5,0,0
 14-21,0,0,0,0,0,1.41,0,0,0,0,0,0
 24-34,0,0.62,0,0,0,0.77,0,0,0,0,1.77,0
 36-46,0,0,0,0,0,0,0.73,0,0,0,0,0
 48-58,0,0,0,0,0,1.27,0,1.33,0,0,0,0.83
 60-70,0,0,0,0,0,0,0,0,0,0,0.82,0
 72-82,0,0,1.78,0,0,0,0,0,0.66,0,0,0
 84-94,0,0,0,1.56,0,0,0,0,0,0,2.97,0
 96-106,0,0,0,8.8,0,0,0,1.37,0,0,0,0
108-118,0,0,0,0,0.91,0,0,0,0,0,0,0
120,0,2.16,0,0,0,0,0,0,0,0,0,0
