stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.81,9.94,0,0,3.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.77,0,0,0,0,0,0,0,0,0,29.2,0,0,0,15.95,0,0,0,0,0,0,0,0,0,0
 14-21,13.2,1.85,1.77,0,0,0,0,0,0,1.16,0,0,27.45,2.03,0,0,0,0,1.34,0,0.9,3.64,8.39,0,0,0,0
 24-34,1.82,0,2.5,0,0,0,0,0,0,2.48,0.69,1.54,28.7,0,0,0,0,0,0,0,0,0.76,3.79,0,0,5.45,0
 36-46,0,0,3.58,0,0,0.68,0,0,0,3.98,0,0.9,39.85,0,5.64,0,0,0,0,0,0,0,13.59,0,0,0.68,0
 48-58,0.4,0,6.1,0,0,0.46,0.45,0,0,0.43,0,0.62,28.17,0,0,0,0,3.25,0,0,0,0,1.78,0,0,0.49,1.61
 60-70,0,0,2.53,0,0,0,0,0,0,0.61,0,0,31.44,0,0,0,0,0,0,0,0,0,5.5,0,0.59,0,0
 72-82,0,0,14.15,0.51,0,3.57,0,2.62,0,8.11,0,0.85,63.89,0,0,0,0,0,0,0,0.55,0,6.88,0,0.75,1.1,0
 84-94,0,0,8.15,0,0.74,1.68,0,0,0,0,0,0,15.4,0,0,0.78,0,0.81,0,1.05,0.55,0,6.07,0,0,0,0
 96-106,0,0,0,0,0,2.62,0,0,2.09,1.8,0,1.09,5.12,0,1.05,0,0,0.67,0,0,0.62,0,0,0.79,0,2.54,0
108-118,0.49,0,0,0,0,1.62,0,0,0.98,0.97,0,0,27.89,0,0,0,0,0.68,0,0,1,0,0,1.33,0,0.5,0
120,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
