stage,axial,blastomeres,endoderm,epidermis,erythrocytes,glial,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  3-4,0,53.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.03,72.58,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0
  7-9,0,0,5.02,0,0,0,5.61,0,47.35,0,0,17.53,0,0,0,0
 10-12,0,0,3.04,0,0,0,0,0,40.62,8.3,0,9,0,12.9,0,0
 14-21,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.39,9.11,0,0,0,2.03,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.18,0,1.25,0,0,0
 60-70,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,6.42,0
 72-82,0,0,0,0,0,1.49,0,0,0.84,0,1.27,0,0,0,0,0
 96-106,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,1.01
