stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,8.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,6.02,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,18.8,0,0,0,0,0.87,0,2.03,2.86,0.93,0,0,0,0
 24-34,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0.62,2.77,0,1.14,6.77,0,0,0,0,0,0.91,0,0.71,3.8,0,4.2,0,0
 36-46,0,0,0,0,1.26,1.66,0,0,0,0,0,0,0,0,2.73,0,0,3,0,0,0,3.24,0,0,0,0,0,0,0.69,0,0
 48-58,0,2.47,0,0,0.51,0,0,0.71,1.99,0.78,1.13,0,0,0,1.24,0,0.44,24.5,0,0,0,1.55,0,0,0,0,2.53,0,3.69,0,0
 60-70,0,0,0,0,1.47,0,0,0,2.5,0,3.32,0,0,0,9.32,0,0.59,14.71,0,0,0,1.22,0,0,0,0,1.59,0,3.5,0,0
 72-82,0,0,6.37,0,4.07,0,0,0.7,0,0,0.61,0,0,0,11.77,0,3.57,8.79,0,0,0,0,0,0,0,0,2.12,0,4.8,0,0
 84-94,0,0,4.16,0,1.79,0,0,2.43,0,0,0.95,0,0,0,9.96,0.57,0.78,16.31,0,0.63,0,0,0,0,0,0,0.84,0,0,0,0
 96-106,0,1.24,17.43,1.29,5.69,0,0,8.24,4.18,0,3.16,1.7,0,0,11.07,0,1.41,5.38,2.37,0,0,1.08,0,0,0,0,0,0,0.59,0.86,0
108-118,0,2.73,1.95,0.96,0.45,0,0.57,0,1.44,0,4.34,0.42,0.45,0,34.81,3.57,2.31,7.17,0.84,0,0,0,0,0,0,0,2.2,0,4.53,0.55,2.75
120,0,0,0,0,0,0,2.48,0,0,0,9.61,2.63,0,0,24.03,0,7.53,0,0,0,0,1.36,0,0,0,0,0,2.39,7.59,0,4.96
