stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,23.04,0,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0,116.27,0,0,0,7.37,0,0,0,0,0,0,0,0
 14-21,0,0,3.04,0,0.9,0,0,502.09,0,5.61,0,0,0,0,0,0,0,0.93,0,0,0,134.71,6.87,1.51,16.3,32.09,0,0.9,12.74,2.3,1145.51,0,0,0
 24-34,0,0,3.19,0,4.02,0,0,503.34,0,0,0,0,0,0,1.14,0,0,6.4,0,0,6.82,192.12,0,15.34,37.01,0,0.93,0,63.42,0,792.35,0,1.58,0
 36-46,0,0,0.73,0,1.62,8.76,0.65,296.37,0,0,0,0,0,0,0,0,0,1.26,0,0,0.98,161.72,0,21.88,23.31,0,0,0,39.91,0,425.46,0,0,0
 48-58,0,0,6.79,0,2.47,0,3.22,230.84,0,0,0,0,0,0,1.22,2.56,0,1.57,0,0,1.75,77.64,0,44.49,14.35,0,0,0,36.89,0,394.3,0,0,0.47
 60-70,0,0,0,2.83,6.62,0,0,178.95,4.12,0,0,0,0,0,4.17,0,0,3.47,3.06,0,0,40.94,2.62,22.01,36.72,0,0,0,56.86,0,236.23,0,0,0
 72-82,0,0,0.76,0,18.86,0,0,187.01,0,0,0.89,0,0,0,8.24,0,0,2.01,0,0.88,0,61.89,0,34.08,69.81,0,2.97,0,6.3,0,160.44,0.63,0,0
 84-94,0,3.25,1.45,0,32.94,0,0,180.81,0,0,0,0,0,0,10.82,0,0,6.88,0,0,0,86.83,0,73.32,94.29,0,0,0,26.58,0,216,0,0,0
 96-106,0,9.82,1.29,0,14.61,0,0,158.39,0,0,0,0,0,1.03,19.16,7.86,1.15,7,0,0,0,22.43,0,42.47,123.03,0,6.64,0,11.75,0,184.6,0,0,0
108-118,0,8.33,2.91,0,15.55,0.59,0,132.19,0,0,0,1.98,0,0,14.67,0,0,0.7,0,0,1.44,46.52,0,76.31,83.75,0,0,0,25.87,0,210.12,0,0,0
120,0,12.69,0,0,4,0,0,119.84,0,0,0,0,4.89,0,18.15,3.16,0,0,0,0,0,82.33,0,72.32,132.55,0,0,0,56.64,0,108.83,0,11.6,0
