stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,24.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,0,0,0,28.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.01,2.71,4.8,0,0,3.93,0,0,0,0,0,0,0,5.27,0,0,0,153.86,0,0,0,0,0,0,0.81,25.82,0,1.07,0,0
 24-34,0,0,0,1.39,0,0,0,0,2.16,0,0,0,0,0,0,0,129.92,0,0,5.57,1337.68,0,4.98,0,0,2.91,0,3.69,42.06,0,41.06,0,0.93
 36-46,0,0,0,0,0,3.73,0,5.57,100.28,0,0,0,0,0,0,0,214.72,0,1.78,3.86,1171.7,0,2.05,4.08,0,0,8.64,1.81,72.87,0,22.41,1.55,0
 48-58,0,0,0,0.66,0,38.17,5.58,0,168.2,0,0,0,0,15.28,0,0.48,430.68,0,3.54,5.13,908.02,0,5.07,0.64,0,0,0.43,0,111.97,7,28.51,0,0
 60-70,0,0,0,7.84,4.57,23.18,0,7.45,119.18,0,0.66,0,0,6.5,1.52,0,667.68,0,0.85,21.09,661.22,6.77,1.33,1.81,0,0,6.14,2.34,69.35,15.76,36.14,0,0
 72-82,0,0,0,4.51,0,10.3,0,9.98,65.35,0.53,4.36,0.69,0,0,0,0,744.11,1.89,4.7,10.73,285.87,0,2.9,0,0,0,0.64,0,70.84,38.01,52.29,2.27,0
 84-94,0,0,1.04,0,0,48.07,0,6.65,31.69,3.7,4.06,1.07,0,0,0,0,728.11,0,0,4.55,111.95,0,10.49,0.79,0,0,0,0.67,21.1,19.85,33.14,5.72,0
 96-106,1.12,0,0,4.14,7.51,16.18,0,5.33,21.22,3.23,2.23,1.65,0,0,0,0,451.5,0,9,0,115.5,0,7.11,2.76,0,0,0,0.7,18.18,30.15,55.02,3.21,0
108-118,0,0,0,3.33,0,30.96,0,4.15,32.88,1.85,2.63,0,0,0,0,0,519.39,0,4.15,3.19,124.82,0,5.21,0,0,1.19,5.34,0.48,9.13,9.58,51.79,3.66,0
120,0,0,0,16.12,0,51.28,0,5.73,96.84,3.12,0,2.22,1.45,0,0,12.75,937.16,4.5,19.41,3.2,276.75,0,13.37,0,0,0,4.07,0,74.26,71.36,134.67,0,0
