stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4.57,0,0,0,0,0,0,0,0,0,0,0,3.43,1.03,0,0,1.87,1.96,0,0,0,1.03,3.54,0,1.22,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0.69,26.24,0,0.63,0,0,0,2.34,0,1.73,0,0
 36-46,0,1.6,0,4.02,0,0,0,3.7,0,0,0,0,0,1.49,4.98,0,0,55.95,0,0,0,1.43,0,21.34,0,0,0,0
 48-58,0,0,0,8.54,0,1.9,0.4,9.88,0,0,0,0,0,0,4.34,2.46,0,60.84,0,0,0,0.4,0,18.23,0,0.48,0,0
 60-70,0,0.62,0,26.34,0,0,0,1.64,0,0,0,0,0,0,1.8,0,0,41.48,0,0,0,0.68,0,0.91,0,13.47,0,0
 72-82,0.49,0,0,33.17,0,0,0,8.92,0,0,0,0,0,0,4.59,0.55,0,47.2,0,0,0.56,1.75,0,7.17,0,6.41,0.72,0
 84-94,0,0,0,10.22,0,0.74,0,0,0,0,0,0,0,0,0.78,0,0,32.08,0,3.34,0,9.06,0,3,0,0,0,0
 96-106,0,5.53,0,24.54,0,0,0.81,1.43,0,0,1.12,0.57,0,0,4.74,0,0,31.97,0,2.47,0.65,7.65,0,0,0,0,0.69,0
108-118,0.91,2.12,0.49,6.38,0,0,0,5.69,1.68,1.33,0,0,0.88,0,1.08,0,0,18.86,0,1.87,1.14,5.69,0,0,0,0,0,0.83
120,0,0,0,19.59,2.85,0,0,7.01,0,0,0,0,0,0,0,0,0,23.59,0,1.15,1.51,6.89,0,0,1.52,1.54,0,0
