stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,284.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,45.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,23.57,0,0,4.57,0,0,0,0,0,0,0,0
 10-12,0,0,24.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.29,7.65,0,0,3.15,0,0,0,0,7.01,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4,0,0,0,0.9,0,0,0,1.66,0,3.58,0,0,0,0,0
 24-34,0,0.84,0,3.94,0,0,2.85,0,0,0,0.94,0,0,0,0,0,0,0,0,0,2.17,612.17,0,17.97,0.82,0,0,0,0,0,0,76.84,0,0,0,0,0
 36-46,0,0,0,0,0.76,0,2.84,2.43,0,0.64,0,0,0,0,0.61,0,0,0,0,0,1.32,1741.55,0,7.28,0.79,0,0,0,0,0,0,232.84,0,0,0,0,0
 48-58,0,0,0,12.08,0,0,49.99,0,0,0,13.72,0,8.84,0,7.73,0,0,0,6.17,0,0.82,2729.63,1.2,2.13,0,0,0,9.47,0,0,0,193.47,0,0,0,0,0
 60-70,0,0,0,1,0,0,128.63,1.07,0,0,14.19,0,0,0,0,0,9.86,0,25.58,0,1.67,3893.54,0,2.33,0.65,0,0,0,0,0,0,266.99,0,0,0,0,8.49
 72-82,0,0.71,0,13.67,2.6,0,285.61,0,0,1.1,34.99,0,2.04,0,0,2.08,0,0,23.19,0,1.43,5623.72,0,4.92,2.68,0,0,0,0,0,0,249.64,0.71,0,0.5,0,13.98
 84-94,0,0,0,9.04,1.33,2.25,271.97,0,4.74,0,27.23,0,0,1.78,0.98,4.3,0.58,0,21.19,0,0,3166.24,0,2.7,0,0,0,5.56,0,0,0,125.03,0,0,0,2.23,5.98
 96-106,0,0,0,22.99,1.66,0.63,190.33,0,0,1.54,45.2,0,3.2,0,0.75,1.71,0,0,19.37,0,1.37,3392.52,0,1.08,3.3,0,1.51,4.36,0,0,0,71.21,3.18,1.78,2.84,0.91,11.09
108-118,0,0,0,22.43,2.08,4.52,164.9,0,3.29,0,19.94,0,1.65,0.59,7.4,4.56,0,1.71,24.66,0.76,2.43,3324.37,0,3.2,2.59,0,0,0.53,0,0,0,79.49,0,0.96,0.56,2.09,6.66
120,0,0,0,14.1,11.4,0,389.31,2.29,1.21,14.41,69.11,1.09,1.24,0,0,0,0,3.3,41.6,0,4.89,5873.89,0,9.8,13.55,0,0,0,0,0,0,72.62,0,0,4.54,0,0
